Species,Group,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DEG_SCF_TRCP1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_JIP1_4,DOC_MAPK_MEF2A_6,DOC_MAPK_NFAT4_5,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_CaM_IQ_9,LIG_CtBP_PxDLS_1,LIG_EF_ALG2_ABM_1,LIG_EH_1,LIG_HCF-1_HBM_1,LIG_HOMEOBOX,LIG_KEPE_2,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PAM2_1,LIG_PCNA_PIPBox_1,LIG_PDZ_Class_1,LIG_PDZ_Wminus1_1,LIG_PTAP_UEV_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_Rb_LxCxE_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_anti_2,LIG_SUMO_SIM_par_1,LIG_WRPW_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_NMyristoyl,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_ER_FFAT_1,TRG_LysEnd_APsAcLL_1,TRG_NES_CRM1_1,TRG_NLS_MonoExtN_4,A_homorep,C_homorep,D_homorep,E_homorep,G_homorep,H_homorep,I_homorep,K_homorep,L_homorep,M_homorep,N_homorep,P_homorep,Q_homorep,R_homorep,S_homorep,T_homorep,V_homorep,Y_homorep,FG_rich,PY,FRG,SGFYSG,PG_rich,ELASTIN_LIKE,FGxF,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
S_cerevisiae,2,0,0,2,0,0,0,0,2,0,0,2,2,0,4,8,10,10,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,2,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,10,4,4,2,1,1,2,5,0,0,2,0,3,7,2,0,8,0,1,2,12,17,24,24,1,51,10,0.699980097,-0.612121212,11.51660156,0.212121212,1.098612289,-0.287682073,3.076962963,0.341494107,-0.330766601,nan,nan
C_albicans,1,1,1,3,1,0,1,2,1,2,4,2,3,2,8,7,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,4,3,0,5,1,0,1,1,1,0,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,0,23,16,14,10,2,9,12,15,4,0,6,9,4,4,19,7,4,6,0,4,15,23,31,75,54,8,127,8,0.839758291,-1.088690476,9.639648438,0.226190476,0.356674944,-1.386294361,0.506732546,1.560571659,-0.477267752,0.230249892,0.230249892
C_glabrata,1,0,2,5,1,0,0,1,0,0,5,2,0,1,13,8,8,17,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,0,4,3,0,1,1,1,0,2,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,30,14,10,11,3,7,19,9,6,0,12,10,1,8,13,10,3,6,0,4,22,19,38,78,55,5,125,-3,0.836633175,-1.079545455,5.627929688,0.232954546,-0.167054085,-0.693147181,-3.41307103,2.544482472,0.541319245,0.431638319,0.431638319
C_subhashii,2,1,1,4,0,2,2,0,1,2,4,2,4,2,12,11,7,26,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,0,7,3,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,27,15,14,14,1,3,9,10,7,0,7,8,2,4,7,9,6,3,0,3,15,14,36,64,44,5,113,-1,0.816500086,-0.75704698,5.833007813,0.194630873,0.117783036,0,-2.245702911,2.526189334,0.257246297,-0.964607119,-0.964607119
D_hansenii,2,1,3,7,0,0,0,1,0,2,6,0,4,1,14,12,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,2,0,6,4,0,1,0,3,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,31,17,12,8,4,6,11,12,7,0,4,8,2,4,9,4,6,8,0,2,12,16,30,76,45,4,118,4,0.819876526,-0.970967742,9.571289063,0.180645161,0.587786665,-0.223143551,-0.569539061,0.804921216,-0.348970279,-0.747411344,-0.747411344
K_lactis,2,0,4,9,2,1,1,2,1,0,4,6,3,3,20,17,12,35,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,8,3,0,12,7,0,1,2,4,0,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,46,13,21,18,4,5,30,13,12,0,8,12,1,5,13,7,3,6,0,4,20,25,39,119,58,5,165,5,0.808334188,-1.255656109,9.485351563,0.20361991,0.36772478,-0.074107972,-0.797365177,2.359373784,0.845298653,2.101791038,2.101791038
L_kluyveri,2,0,1,4,0,1,0,0,1,2,4,2,7,0,5,7,8,19,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,0,4,1,0,1,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,20,15,12,7,5,5,13,3,10,0,3,5,0,5,3,4,4,3,0,2,8,13,23,58,36,2,88,5,0.794561126,-1.221848739,10.46386719,0.176470588,0.405465108,1.011600912,0.126398771,-0.879492995,-0.025882213,-0.420577027,-0.420577027
L_waltii,2,0,1,7,2,0,0,0,0,3,1,4,6,3,19,9,10,26,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,5,0,0,1,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30,21,12,8,14,3,9,14,8,1,8,2,1,9,3,8,1,6,0,2,10,11,32,83,42,3,123,1,0.804281012,-0.7875,8.237304688,0.13125,-1.098612289,0.810930216,-0.589492291,-0.660501472,1.181893555,-0.545700752,-0.545700752
N_bacillisporus,2,0,6,5,0,0,3,1,1,0,7,1,1,1,7,6,2,18,3,0,0,0,0,1,1,0,0,0,1,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,0,6,7,0,1,1,2,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,29,10,9,7,2,6,25,3,4,0,9,7,4,7,7,15,1,7,1,2,16,11,37,74,37,7,93,-5,0.804509808,-0.792258065,4.872070313,0.174193548,-0.223143551,-0.470003629,0.016778809,2.230365008,0.173854831,0.519156121,0.519156121
N_bracarensis,1,0,3,2,0,0,1,1,0,0,4,0,1,0,5,7,6,17,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,5,2,0,6,3,0,1,1,2,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,27,12,11,4,2,4,22,5,6,0,7,13,3,6,14,13,2,5,0,4,20,20,30,71,52,7,105,0,0.815118323,-1.174375,6.958007813,0.25,0.559615788,-0.762140052,-1.740493861,-0.408179509,-0.285024637,-1.324647326,-1.324647326
