Species,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_LIR_Gen_1,LIG_PCNA_PIPBox_1,LIG_PTB_Apo_2,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,Q_homorep,PY,FRG,PG_rich,R_plus_Y,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
S. cerevisiae,-0.331953065,-0.441769206,0.569398623,-0.545544726,-0.21821789,0.418853908,-0.398409537,-0.21821789,-0.401407393,1.866119411,-0.21821789,0.717137166,-0.288169032,0.091201631,0.196494373,-0.232245115,-0.6172134,-0.473381068,-0.21821789,-0.587220219,1.244033379,0.765559002,-0.21821789,-0.21821789,-0.398409537,-0.577350269,-0.21821789,-0.316623793,-0.956182887,-0.21821789,-0.316623793,-0.21821789,-0.509647191,0.956182887,-0.561705179,-0.585305968,-0.267797373,-0.21821789,1.380131119,-0.316623793,-0.587220219,-0.21821789,0.93048421,-0.21821789,-0.316623793,-0.21821789,-0.316623793,0.280262168,-0.554221104,-0.525611581,0.203489232,-0.754813183,-0.34299717,-0.554776278,-0.760111127,0.61497769,1.168811456,0.178639977,-0.105644282,0.253184842,0.682430917,1.100491066,-0.649878362,-0.667719354,0.533261816,-0.398409537,-1.217996914,0.079407105,1.522577202,-0.419313934,-0.399704952,0.178504113,-0.522700274,-0.243186628,0.862524378,-0.101960126,0.350452701,0.4332477,0.945468717,-0.22164796,0.465574515,-0.875334884,-1.323852574,-0.59573272,-0.037497973,-0.037497973
C. albicans,2.157694924,-0.441769206,0.569398623,1.745743122,-0.21821789,-0.837707817,-0.398409537,-0.21821789,2.308092511,0.514791562,-0.21821789,0.717137166,3.494049511,1.048818761,0.196494373,2.649705625,-0.6172134,-0.473381068,-0.21821789,2.936101097,-0.765559002,0.765559002,-0.21821789,4.364357805,-0.398409537,2.886751346,-0.21821789,-0.316623793,-0.956182887,-0.21821789,3.007926037,-0.21821789,2.166000564,-0.717137166,2.714908366,0.643836565,4.231198499,-0.21821789,-0.690065559,-0.316623793,2.936101097,-0.21821789,-1.023532631,-0.21821789,-0.316623793,-0.21821789,3.007926038,0.280262168,2.803079815,2.986429438,1.729658471,2.293470826,2.400980192,2.796680417,2.215917184,1.448173271,-0.935049164,0.647569916,-0.845154255,2.531848418,2.832088308,-0.909101315,2.76198304,0.55159425,0.533261816,2.390457219,1.623995885,0.079407105,-1.23381256,3.249682995,2.852894094,1.954150296,2.818036262,2.830422139,-0.846250333,2.367668844,-0.274725916,1.025253974,-1.977464861,-1.391617206,-0.464708466,0.101315278,0.95933554,-0.536147177,0.524937752,0.524937752
C. glabrata,-0.331953065,-0.441769206,-0.925272763,-0.545544726,-0.21821789,-0.837707817,-0.398409537,-0.21821789,-0.401407393,-0.836536288,-0.21821789,-0.956182887,-0.288169032,-0.866415499,-1.178966238,-0.453933633,1.5430335,-0.473381068,-0.21821789,0,-0.765559002,0.765559002,-0.21821789,-0.21821789,-0.398409537,-0.577350269,-0.21821789,-0.316623793,0.717137166,-0.21821789,-0.316623793,-0.21821789,-0.509647191,-0.717137166,-0.561705179,-0.585305968,-0.267797373,-0.21821789,-0.690065559,-0.316623793,0,-0.21821789,-1.023532631,-0.21821789,-0.316623793,-0.21821789,-0.316623793,-0.455426022,-1.001861227,-0.525611581,-0.101744616,-0.754813183,-0.34299717,0.083596426,-0.489563099,-0.634815681,-0.935049164,0.647569916,1.373375663,-0.506369684,-0.034121546,0.095694875,0.032493918,1.161251051,0.533261816,-0.398409537,0.676664952,1.079936626,-0.682534608,0.314485452,-0.452166227,-0.018789908,-0.045452198,-0.385045494,-1.529760217,0.20690479,-0.020367828,-1.020802796,0.543161802,0.53367947,-1.008889125,2.38918723,-0.815484132,-0.144279522,-0.796275768,-0.796275768
C. subhashii,3.651483717,3.269092123,0.569398623,-0.545544726,-0.21821789,-0.837707817,-0.398409537,-0.21821789,3.51231469,-0.836536288,-0.21821789,-0.956182887,-0.288169032,0.091201631,-1.178966238,3.093082662,-0.6172134,-0.473381068,-0.21821789,2.348880877,-0.765559002,-1.244033379,-0.21821789,-0.21821789,-0.398409537,-0.577350269,-0.21821789,-0.316623793,-0.956182887,-0.21821789,3.007926037,-0.21821789,3.057883149,-0.717137166,2.714908366,3.102121631,-0.267797373,-0.21821789,-0.690065559,3.007926037,2.348880877,-0.21821789,-1.023532631,4.364357805,3.007926037,-0.21821789,-0.316623793,1.015950358,2.131619632,2.735569366,3.561061559,1.683814024,1.371988681,3.115866769,2.215917184,-0.634815681,-0.233762291,-0.759219902,0.633865691,2.531848418,-0.75067401,-0.909101315,0.714866199,0.55159425,-2.051006984,2.390457219,1.623995885,-0.254102736,-0.682534608,0.314485452,2.695510269,1.756856276,2.818036262,2.593990695,-0.162740449,1.031025993,-1.711536594,0.955147968,-1.874623877,1.332749788,0.465574515,-0.197896192,-0.716391001,-0.131904705,2.943322629,2.943322629
D. hansenii,0.165976533,-0.441769206,-0.925272763,1.745743122,-0.21821789,-0.837707817,-0.398409537,-0.21821789,-0.100351848,0.514791562,-0.21821789,0.717137166,-0.288169032,-0.866415499,-1.178966238,-0.010556596,-0.6172134,-0.473381068,-0.21821789,0.587220219,-0.765559002,0.765559002,-0.21821789,-0.21821789,-0.398409537,-0.577350269,-0.21821789,-0.316623793,0.717137166,-0.21821789,-0.316623793,4.364357805,-0.509647191,-0.717137166,-0.561705179,-0.585305968,-0.267797373,-0.21821789,-0.690065559,-0.316623793,0.587220219,4.364357805,-1.023532631,-0.21821789,3.007926037,-0.21821789,-0.316623793,-0.455426022,-0.330401043,-0.274751508,0.50872308,1.074157223,0,-0.235589926,-0.489563099,1.031575481,-0.935049164,-1.228149841,-0.105644282,-0.506369684,-1.467226473,-0.909101315,-1.332250642,-0.667719354,0.533261816,2.390457219,0.676664952,-0.921122416,-1.23381256,-0.663913729,-0.032476027,-1.20255403,0.431795879,-0.14861405,0.179014494,0.50378518,0.170424401,-0.202899392,-1.061387873,1.332749788,-0.464708466,-0.219610711,0.503769649,0.673837568,2.355988115,2.355988115
K. lactis,-0.331953065,1.413661459,0.569398623,-0.545544726,-0.21821789,2.931977358,-0.398409537,-0.21821789,0.200703697,-0.836536288,-0.21821789,-0.956182887,-0.288169032,2.964053021,0.196494373,-0.232245115,1.5430335,2.01186954,-0.21821789,0,-0.765559002,-1.244033379,-0.21821789,-0.21821789,-0.398409537,1.154700538,4.364357804,-0.316623793,2.390457219,-0.21821789,-0.316623793,-0.21821789,-0.509647191,2.62950294,0.748940239,0.643836565,-0.267797373,-0.21821789,-0.690065559,-0.316623793,0,-0.21821789,-1.023532631,-0.21821789,-0.316623793,-0.21821789,3.007926038,3.223014928,0.788699264,-0.023891435,-0.406978464,0.464500421,1.714985852,-0.235589926,1.674821128,2.281368852,1.870098329,2.523289673,0.633865691,-1.265924209,-0.75067401,-1.913897506,0.714866199,-0.058062552,0.533261816,-0.398409537,1.623995885,2.080466147,0.420021297,0.314485452,0.911826921,1.362268235,-0.045452198,0.891684302,-1.871515159,0.940026757,-1.692218049,0.007418626,-0.194400876,-1.098966156,2.625624703,1.978110601,-0.325560472,-0.62517645,-0.173375895,-0.173375895
L. kluyveri,-0.331953065,-0.441769206,0.569398623,-0.545544726,-0.21821789,1.675415633,-0.398409537,-0.21821789,-0.401407393,-0.836536288,-0.21821789,-0.956182887,-0.288169032,0.091201631,0.196494373,-0.010556596,-0.6172134,-0.473381068,-0.21821789,-0.587220219,-0.765559002,-1.244033379,-0.21821789,-0.21821789,-0.398409537,1.154700538,-0.21821789,-0.316623793,0.717137166,-0.21821789,-0.316623793,-0.21821789,1.274117979,0.956182887,0.09361753,1.872979098,-0.267797373,-0.21821789,-0.690065559,-0.316623793,-0.587220219,-0.21821789,-1.023532631,-0.21821789,-0.316623793,-0.21821789,-0.316623793,-0.455426022,0.564879202,-0.023891435,-0.406978464,-0.145156381,0.685994341,-0.395183102,0.322080986,-0.634815681,-0.233762291,0.178639977,-0.845154255,-1.265924209,0.682430917,-0.909101315,0.714866199,-0.667719354,-1.189584051,-0.398409537,-0.270665981,-0.254102736,-0.682534608,-0.174714138,0.019985248,-0.413377948,-0.999948351,-0.14861405,-0.162740449,-0.092907481,-0.431693163,0.217736644,-0.545349463,-1.020718278,0.465574515,-0.065351491,0.817466442,0.474023427,nan,nan
L. waltii,-0.331953065,-0.441769206,-0.925272763,-0.545544726,-0.21821789,-0.837707817,-0.398409537,-0.21821789,-0.401407393,-0.836536288,-0.21821789,-0.956182887,0.468274677,-0.866415499,-1.178966238,-0.453933633,-0.6172134,-0.473381068,-0.21821789,-0.587220219,1.244033379,-1.244033379,-0.21821789,-0.21821789,-0.398409537,-0.577350269,-0.21821789,-0.316623793,0.717137166,-0.21821789,-0.316623793,-0.21821789,0.382235394,-0.717137166,-0.561705179,0.643836565,-0.267797373,-0.21821789,-0.690065559,-0.316623793,-0.587220219,-0.21821789,0.93048421,-0.21821789,-0.316623793,-0.21821789,-0.316623793,0.280262168,-0.106580982,-0.525611581,-0.712212312,-0.754813183,-1.028991511,-0.07599675,-0.489563099,0.1983799,0.467524582,-0.290289962,-1.584664227,-0.506369684,-0.75067401,-0.909101315,-0.649878362,-0.667719354,-0.328161117,-0.398409537,-0.270665981,-0.921122416,-0.131256655,-1.153113319,-0.399704952,-1.00526001,-0.522700274,-0.574190649,0.862524378,-1.060844694,-0.367730126,-0.719606622,0.073803733,-1.718773248,1.009755174,-0.652552328,-1.07794289,1.700154028,-0.261645935,-0.261645935
N. bacillisoprus,-0.331953065,1.413661459,-0.925272763,-0.545544726,-0.21821789,0.418853908,-0.398409537,-0.21821789,-0.100351848,-0.836536288,-0.21821789,0.717137166,-1.044612741,-0.866415499,-1.178966238,-0.675622152,-0.6172134,2.01186954,-0.21821789,-0.587220219,-0.765559002,-1.244033379,-0.21821789,-0.21821789,-0.398409537,1.154700538,-0.21821789,-0.316623793,0.717137166,-0.21821789,-0.316623793,-0.21821789,-0.509647191,-0.717137166,-0.561705179,-0.585305968,-0.267797373,-0.21821789,-0.690065559,-0.316623793,-0.587220219,-0.21821789,-1.023532631,-0.21821789,-0.316623793,-0.21821789,-0.316623793,-1.191114213,-0.554221104,-0.274751508,-0.712212312,-0.754813183,-0.685994341,-0.235589926,0.863177043,-1.051413471,-0.935049164,0.178639977,-0.105644282,-0.506369684,1.398983381,-0.909101315,0.032493918,-0.667719354,-0.328161117,-0.398409537,-0.270665981,0.079407105,-1.23381256,-0.174714138,-0.399704952,-0.610671969,-0.522700274,-0.716049515,-0.846250333,-0.85322828,0.07663451,-1.314209415,-0.094683778,-0.22164796,-0.464708466,0.948195651,1.165063749,0.861302258,-0.102121351,-0.102121351
N. bracarensis,-0.331953065,-0.441769206,-0.925272763,1.745743122,4.364357805,-0.837707817,2.390457219,-0.21821789,-0.401407393,0.514791562,-0.21821789,0.717137166,0.468274677,-0.866415499,1.571954984,-0.453933633,1.5430335,-0.473381068,-0.21821789,0,-0.765559002,0.765559002,-0.21821789,-0.21821789,2.390457219,-0.577350269,-0.21821789,-0.316623793,0.717137166,-0.21821789,-0.316623793,-0.21821789,-0.509647191,0.956182887,-0.561705179,-0.585305968,-0.267797373,-0.21821789,-0.690065559,-0.316623793,0,-0.21821789,0.93048421,-0.21821789,-0.316623793,-0.21821789,-0.316623793,-0.455426022,-0.778041165,-0.274751508,-0.406978464,-0.145156381,-0.685994341,-0.235589926,-0.219015071,0.61497769,-0.935049164,-0.759219902,1.373375663,-0.506369684,-0.75067401,0.095694875,-0.649878362,2.380564655,0.533261816,-0.398409537,0.676664952,0.079407105,-0.682534608,0.559085247,-0.399704952,-0.413377948,-0.045452198,-0.432331782,-0.504495391,0.520677175,0.712250833,-0.932521159,-0.1608753,1.839169056,-1.008889125,0.382177312,0.693307138,-1.576788555,-0.796275768,-0.796275768
