Species,Group,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DEG_SCF_TRCP1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_JIP1_4,DOC_MAPK_MEF2A_6,DOC_MAPK_NFAT4_5,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_CaM_IQ_9,LIG_CtBP_PxDLS_1,LIG_EF_ALG2_ABM_1,LIG_EH_1,LIG_HCF-1_HBM_1,LIG_HOMEOBOX,LIG_KEPE_2,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PAM2_1,LIG_PCNA_PIPBox_1,LIG_PDZ_Class_1,LIG_PDZ_Wminus1_1,LIG_PTAP_UEV_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_Rb_LxCxE_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_anti_2,LIG_SUMO_SIM_par_1,LIG_WRPW_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_NMyristoyl,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_ER_FFAT_1,TRG_LysEnd_APsAcLL_1,TRG_NES_CRM1_1,TRG_NLS_MonoExtN_4,A_homorep,C_homorep,D_homorep,E_homorep,G_homorep,H_homorep,I_homorep,K_homorep,L_homorep,M_homorep,N_homorep,P_homorep,Q_homorep,R_homorep,S_homorep,T_homorep,V_homorep,Y_homorep,FG_rich,PY,FRG,SGFYSG,PG_rich,ELASTIN_LIKE,FGxF,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
S_cerevisiae,2,0,0,4,0,0,0,0,3,0,0,4,4,0,7,11,13,22,1,0,0,0,0,0,1,0,1,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,7,2,0,6,2,0,1,1,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,11,0,27,19,15,13,6,2,6,5,8,0,2,3,1,6,13,10,0,13,0,3,5,21,42,61,45,4,113,16,0.791485611,-0.486842105,10.94238281,0.171052632,0.287682073,-0.441832752,4.953958109,1.626309648,-0.087198581,-0.755353801,-0.755353801
C_albicans,1,6,4,9,3,0,2,3,2,2,16,6,6,4,21,19,22,42,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,1,10,3,0,11,4,0,2,2,3,1,5,8,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,18,0,55,34,24,24,9,27,27,26,11,0,15,15,8,6,32,20,5,17,0,7,30,43,72,168,107,15,272,13,0.870287636,-1.056077348,9.645507813,0.201657459,0,-1.011600912,1.154269127,1.118740589,0.142587449,0.748819197,0.748819197
C_glabrata,1,1,2,13,1,0,1,1,2,0,8,4,2,1,26,24,9,44,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,1,2,8,4,0,14,9,0,3,2,4,1,5,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23,0,73,23,22,17,12,14,39,17,16,0,21,16,8,14,21,22,5,12,2,7,37,37,70,177,97,17,252,0,0.865698266,-1.041828255,7.374023438,0.20498615,-0.257829109,-0.257829109,-1.981889324,2.636035863,0.321735083,0.80200629,0.80200629
C_subhashii,2,8,2,10,1,2,2,0,2,3,18,5,8,3,25,21,14,49,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,8,1,0,13,2,0,2,1,1,1,3,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,19,0,48,28,28,26,8,27,13,18,12,0,10,11,6,7,10,17,6,8,0,7,21,22,64,142,71,13,226,1,0.856595495,-0.85,8.151367188,0.148275862,0.087011377,0.167054085,-2.003694803,2.091279334,0.396387612,-0.456247531,-0.456247531
D_hansenii,2,3,5,10,0,0,1,2,1,3,14,1,8,1,20,21,14,45,0,0,0,0,0,0,0,0,0,0,0,0,1,11,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,8,5,0,10,5,0,3,2,5,0,3,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,22,0,52,33,24,18,11,17,23,14,14,0,9,14,5,4,19,12,9,18,0,8,23,33,61,141,89,13,225,10,0.864249858,-1.04375,9.694335938,0.184210526,0.405465108,-0.287682073,1.000699248,0.724009441,-0.903401421,-0.385326085,-0.385326085
K_lactis,2,8,4,17,2,2,4,2,2,0,21,7,5,4,34,33,13,66,2,0,0,0,0,0,0,0,0,0,0,0,3,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,16,4,0,23,10,0,4,3,6,0,4,11,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,25,0,82,33,39,22,22,29,43,23,20,0,19,20,8,10,21,15,12,14,0,5,39,41,73,238,113,13,330,2,0.867309139,-1.250800915,8.647460938,0.183066362,0.048790164,-0.046520016,-2.45979687,3.729580002,0.973799785,0.142240528,0.142240528
L_kluyveri,2,6,2,12,0,2,1,2,2,2,17,4,10,0,16,20,14,45,0,0,1,0,0,0,0,0,0,0,0,0,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,8,3,0,12,5,0,1,3,4,0,2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,22,0,52,29,26,18,10,24,26,8,17,0,9,10,6,8,15,13,9,11,1,5,19,32,59,146,80,12,218,13,0.861647568,-1.102356902,10.15527344,0.171717172,0.09531018,0.117783036,1.758769489,1.025575569,0.181010197,-0.916404266,-0.916404266
L_waltii,2,1,1,16,3,0,1,1,1,3,3,9,10,5,40,27,14,53,2,0,0,0,1,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,1,1,13,3,0,2,2,4,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,22,0,67,38,21,17,17,10,17,25,17,1,14,6,5,12,12,16,4,12,1,5,20,29,61,158,87,11,244,9,0.846630177,-0.847949527,9.846679688,0.154574133,-0.762140052,0.3254224,0.115627131,1.132958317,1.736815012,0.179612218,0.179612218
N_bacillisporus,2,1,15,14,0,0,4,2,2,0,24,3,2,1,22,23,8,51,4,0,0,0,0,1,1,0,0,0,1,1,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,4,0,0,0,0,1,0,0,18,3,0,19,12,0,1,3,4,0,5,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,17,0,71,20,33,18,5,11,63,10,10,0,16,9,7,17,20,25,7,14,1,7,25,30,81,193,75,15,223,5,0.831174965,-0.867582418,9.241210938,0.151098901,-0.530628251,-0.646627165,-0.689374954,2.845977402,1.158296589,-0.55723407,-0.55723407
N_bracarensis,1,1,3,10,0,0,1,1,2,0,6,2,3,0,22,25,13,39,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2,10,3,0,14,7,0,4,2,4,0,5,8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,22,0,62,22,21,13,4,11,32,14,16,0,11,19,7,12,25,23,5,10,2,6,30,41,63,144,93,15,218,11,0.855561705,-1.005079365,9.672851563,0.225396825,0.510825624,-0.424883194,0.651941258,0.930863998,-0.774459848,-0.78185966,-0.78185966
