	REP_Q2	REP_N2	REP_S2	REP_G2	REP_E2	REP_D2	REP_K2	REP_R2	REP_P2	REP_QN2	REP_RG2	REP_PR	REP_FG2	REP_SG2	REP_SR2	REP_KAP2	REP_PTS2	CLV_C14_Caspase3-7	DEG_APCC_KENBOX_2	DEG_Kelch_Keap1_1	DEG_SCF_TRCP1_1	DOC_ANK_TNKS_1	DOC_CYCLIN_RxL_1	DOC_MAPK_gen_1	DOC_MAPK_JIP1_4	DOC_MAPK_MEF2A_6	DOC_MAPK_NFAT4_5	DOC_PP1_RVXF_1	DOC_PP2A_B56_1	DOC_PP4_FxxP_1	DOC_WW_Pin1_4	LIG_14-3-3_CanoR_1	LIG_CaM_IQ_9	LIG_CtBP_PxDLS_1	LIG_EF_ALG2_ABM_1	LIG_EH_1	LIG_HCF-1_HBM_1	LIG_HOMEOBOX	LIG_KEPE_2	LIG_KLC1_WD_1	LIG_LIR_Gen_1	LIG_PAM2_1	LIG_PCNA_PIPBox_1	LIG_PDZ_Class_1	LIG_PDZ_Wminus1_1	LIG_PTAP_UEV_1	LIG_PTB_Apo_2	LIG_PTB_Phospho_1	LIG_Rb_LxCxE_1	LIG_SH2_CRK	LIG_SH2_GRB2like	LIG_SH2_NCK_1	LIG_SH2_SRC	LIG_SH2_STAP1	LIG_SH2_STAT5	LIG_SH3_2	LIG_SUMO_SIM_anti_2	LIG_SUMO_SIM_par_1	LIG_WRPW_1	MOD_CDK_SPK_2	MOD_CDK_SPxK_1	MOD_CDK_SPxxK_3	MOD_CK1_1	MOD_CK2_1	MOD_DYRK1A_RPxSP_1	MOD_GSK3_1	MOD_N-GLC_1	MOD_NMyristoyl	MOD_PIKK_1	MOD_PKA_1	MOD_PKA_2	MOD_PKB_1	MOD_Plk_1	MOD_ProDKin_1	MOD_SUMO_for_1	MOD_SUMO_rev_2	TRG_ER_diArg_1	TRG_ER_FFAT_1	TRG_LysEnd_APsAcLL_1	TRG_NES_CRM1_1	TRG_NLS_MonoExtN_4	A_homorep	C_homorep	D_homorep	E_homorep	G_homorep	H_homorep	I_homorep	K_homorep	L_homorep	M_homorep	N_homorep	P_homorep	Q_homorep	R_homorep	S_homorep	T_homorep	V_homorep	Y_homorep	FG_rich	PY	FRG	SGFYSG	PG_rich	ELASTIN_LIKE	FGxF	R_plus_Y	REP_RGG	AA_S	AA_P	AA_T	AA_A	AA_H	AA_Q	AA_N	AA_G	AA_R	AA_C	AA_D	AA_E	AA_F	AA_I	AA_K	AA_L	AA_M	AA_V	AA_W	AA_Y	acidic	basic	aliphatic	polar_fraction	chain_expanding	aromatic	disorder_promoting	net_charge	WF_complexity	KL_hydropathy	isoelectric_point	FCR	ED_ratio	RK_ratio	SCD	kappa*	omega*	aromatic_spacing*	omega_aromatic*
>AFA36294.1 PHO4 protein [Candida albicans]	1.0	4.0	9.0	3.0	0.0	2.0	3.0	2.0	2.0	8.0	6.0	6.0	4.0	21.0	19.0	21.0	40.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	10.0	3.0	0.0	11.0	4.0	0.0	2.0	2.0	3.0	1.0	5.0	7.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	17.0	0.0	54.0	32.0	24.0	22.0	9.0	16.0	27.0	26.0	10.0	0.0	13.0	15.0	8.0	6.0	30.0	15.0	5.0	16.0	0.0	7.0	28.0	40.0	64.0	156.0	100.0	15.0	251.0	12.0	0.8657603132813702	-1.0367164179104478	9.6240234375	0.20298507462686566	0.13353139262452274	-1.0360919316867756	0.6764109432678641	1.3264929963741745	0.2628221946085895	0.594711263257492	0.594711263257492
>UCS35305.1 PHO4 [[Candida] glabrata]	1.0	2.0	13.0	1.0	0.0	1.0	1.0	2.0	0.0	7.0	4.0	2.0	1.0	26.0	24.0	9.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	8.0	4.0	0.0	14.0	9.0	0.0	2.0	2.0	4.0	1.0	5.0	10.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	72.0	23.0	22.0	17.0	12.0	14.0	38.0	17.0	16.0	0.0	21.0	16.0	8.0	14.0	21.0	22.0	5.0	12.0	2.0	7.0	37.0	37.0	70.0	175.0	97.0	17.0	251.0	0.0	0.8669682613296907	-1.0356545961002785	7.3740234375	0.20612813370473537	-0.2578291093020999	-0.2578291093020999	-1.992930490221742	2.6133106183662083	0.2711297634954487	0.7897002115091445	0.7897002115091445
>XP_049262169.1 PHO4 [[Candida] subhashii]	8.0	2.0	12.0	2.0	2.0	3.0	1.0	2.0	7.0	18.0	6.0	13.0	6.0	29.0	24.0	23.0	63.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	11.0	1.0	0.0	14.0	3.0	0.0	3.0	2.0	3.0	1.0	4.0	9.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	22.0	0.0	60.0	39.0	34.0	30.0	13.0	28.0	17.0	23.0	13.0	0.0	14.0	15.0	10.0	12.0	14.0	21.0	6.0	8.0	0.0	9.0	29.0	27.0	77.0	175.0	95.0	19.0	283.0	-2.0	0.8690781363191732	-0.8415300546448088	6.7099609375	0.15300546448087432	0.06453852113757108	-0.06899287148695166	-1.5613921609685983	2.132991787773544	-0.4580551658027592	-0.2414462690688234	-0.2414462690688234
>XP_458014.2 DEHA2C07656p [Debaryomyces hansenii CBS767]	3.0	4.0	9.0	0.0	0.0	1.0	1.0	1.0	3.0	12.0	1.0	8.0	1.0	19.0	19.0	13.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	10.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	7.0	5.0	0.0	10.0	4.0	0.0	3.0	1.0	4.0	0.0	3.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	48.0	32.0	21.0	16.0	10.0	17.0	19.0	14.0	13.0	0.0	9.0	14.0	5.0	4.0	15.0	10.0	8.0	17.0	0.0	8.0	23.0	28.0	55.0	129.0	83.0	13.0	209.0	5.0	0.8629234368639206	-1.0371428571428571	9.3232421875	0.18214285714285713	0.40546510810816416	-0.13353139262452274	-0.39595433467944174	0.20278045707620151	-0.7818839313368127	-0.509543566467998	-0.509543566467998
>RKF65350.1 Phosphate system positive regulatory protein PHO4, partial [Erysiphe neolycopersici]	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	3.0	0.0	6.0	10.0	11.0	13.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	4.0	2.0	0.0	3.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	9.0	0.0	19.0	14.0	5.0	6.0	2.0	1.0	2.0	5.0	7.0	0.0	3.0	3.0	1.0	3.0	9.0	6.0	0.0	9.0	0.0	2.0	6.0	16.0	24.0	34.0	36.0	3.0	74.0	10.0	0.7608968334911891	-0.6443298969072165	10.5869140625	0.2268041237113402	0.0	-0.22314355131421015	2.1217251684470897	1.0295842310011911	-0.8167150686059788	-0.7143326228322736	-0.7143326228322736
>QEU60988.1 Pho4 [Kluyveromyces lactis]	6.0	4.0	16.0	2.0	2.0	4.0	2.0	2.0	0.0	15.0	7.0	4.0	4.0	32.0	32.0	13.0	62.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	15.0	4.0	0.0	20.0	9.0	0.0	3.0	3.0	6.0	0.0	4.0	10.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	24.0	0.0	73.0	28.0	38.0	21.0	11.0	21.0	40.0	20.0	19.0	0.0	16.0	17.0	7.0	10.0	21.0	15.0	8.0	9.0	0.0	5.0	33.0	40.0	63.0	203.0	101.0	12.0	285.0	7.0	0.8557017256072476	-1.2229551451187337	9.4736328125	0.19261213720316622	0.05715841383994835	-0.09531017980432521	-2.0378616194616	3.4317008042647084	0.3518586578306579	0.17596382192736815	0.17596382192736815
>SAKL0F07392g1_1 PHO4 Protein [Lachancea kluyveri]	0.0	2.0	12.0	0.0	1.0	1.0	2.0	2.0	2.0	6.0	4.0	9.0	0.0	15.0	20.0	13.0	43.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	10.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	8.0	3.0	0.0	10.0	5.0	0.0	1.0	3.0	4.0	0.0	2.0	10.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	18.0	0.0	49.0	25.0	26.0	17.0	7.0	10.0	26.0	6.0	15.0	0.0	7.0	8.0	5.0	8.0	14.0	11.0	6.0	8.0	1.0	3.0	15.0	29.0	50.0	124.0	69.0	9.0	184.0	14.0	0.8374389254058463	-1.0325396825396824	10.4541015625	0.1746031746031746	0.11778303565638382	0.06453852113757108	2.681956533805908	0.6539017786016542	-0.31941255334638624	-0.44440065707192417	-0.44440065707192417
>LAWA0B04082g1_1 PHO4 Protein [Lachancea waltii]	1.0	1.0	16.0	3.0	0.0	1.0	1.0	1.0	3.0	2.0	9.0	9.0	5.0	39.0	27.0	14.0	51.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	11.0	1.0	1.0	11.0	3.0	0.0	2.0	2.0	4.0	0.0	1.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	21.0	0.0	61.0	34.0	21.0	15.0	15.0	8.0	17.0	23.0	16.0	1.0	14.0	5.0	4.0	11.0	12.0	16.0	2.0	8.0	1.0	5.0	19.0	28.0	52.0	146.0	81.0	10.0	224.0	9.0	0.8386319948688479	-0.9235294117647058	9.8466796875	0.16262975778546712	-0.9162907318741551	0.2682639865946794	0.1279699723084365	1.162210280456355	1.5882848282991944	0.3313664898022395	0.3313664898022395
>BN123_NABA0s03e02948g1_1 PHO4 Protein [Nakaseomyces bacillisporus]	2.0	18.0	26.0	0.0	0.0	6.0	3.0	4.0	0.0	30.0	5.0	5.0	1.0	46.0	50.0	21.0	92.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	5.0	17.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	4.0	1.0	2.0	0.0	5.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	29.0	6.0	0.0	34.0	20.0	0.0	5.0	5.0	8.0	0.0	10.0	17.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	40.0	0.0	137.0	44.0	54.0	32.0	14.0	22.0	99.0	26.0	27.0	1.0	31.0	29.0	13.0	30.0	45.0	50.0	13.0	26.0	3.0	13.0	60.0	72.0	151.0	353.0	176.0	29.0	461.0	12.0	0.8693266143812284	-0.9417489421720733	9.3330078125	0.1861777150916784	-0.06453852113757108	-0.49643688631389127	0.25527589900514636	3.2832551631114475	0.8446831847710838	-0.5235669987755005	-0.5235669987755005
>BN124_NADE0s12e00990g1_1 PHO4 Protein [Nakaseomyces delphensis]	2.0	1.0	10.0	0.0	0.0	4.0	1.0	2.0	0.0	7.0	3.0	2.0	0.0	20.0	26.0	9.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	10.0	4.0	0.0	14.0	7.0	0.0	4.0	2.0	2.0	0.0	6.0	7.0	1.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	62.0	17.0	24.0	15.0	7.0	17.0	24.0	15.0	16.0	0.0	22.0	13.0	10.0	7.0	25.0	26.0	6.0	15.0	2.0	4.0	35.0	41.0	69.0	149.0	93.0	16.0	233.0	6.0	0.8671069685489167	-0.9321100917431194	9.3173828125	0.2324159021406728	-0.49643688631389127	-0.42488319396526597	-0.8691639055746234	0.7016541375490465	-0.1457766030122474	1.474397984289067	1.474397984289067
