Species,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_MEF2A_6,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_par_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_LysEnd_APsAcLL_1,TRG_NLS_MonoExtN_4,D_homorep,N_homorep,P_homorep,Q_homorep,S_homorep,T_homorep,PY,FRG,SGFYSG,PG_rich,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
S. cerevisiae,-0.855825024,-0.890146573,-1.415945878,-0.667827097,-0.574169252,-1.023532631,-1.126872339,1.565846215,-0.635256839,-1.238559986,-0.358748002,-0.643836565,-0.936974961,-1.278539564,-1.200480127,0.113928215,-1.342364649,-0.316623793,-0.21821789,-0.21821789,-0.316623793,0.418853908,1.244033379,-0.316623793,-0.398409537,-0.56421386,-0.408441361,-1.021878149,-0.21821789,-0.438061245,-0.577350269,-0.545544726,0.646128518,0.196494373,-0.473381068,-0.633865691,-0.398409537,0.140859042,-0.316623793,0.418853908,1.12687234,-0.316623793,-0.456435464,-0.540579089,-0.473381068,-0.21821789,-1.209972075,-1.034325037,-0.95256241,-1.290994449,-1.46646273,-0.473381068,-1.141891836,-0.394622802,-0.398409537,-0.769244236,-0.071174828,-0.870715432,-0.316623793,-0.21821789,-0.21821789,-0.21821789,-0.509647191,-0.441769206,-0.21821789,0,0.646128518,-0.441769206,0.633865691,-1.403823993,-0.21821789,-1.242811495,-0.58689096,-1.297431898,-0.58597426,-0.49084723,-1.164501288,-1.216468989,-1.023942046,-1.267784736,-0.473381068,-1.390442581,-1.214338878,-1.470669292,-0.858438752,-0.766550262,-1.173376152,-1.382361936,0.071174828,-0.769244236,-1.075789798,-1.463111444,-1.136042387,-1.092367849,-1.404749345,-1.312441591,-1.52088399,-1.32043976,1.380802226,-2.032195945,1.422626653,1.256182832,-0.441627395,0.952824662,-0.553941267,2.025654844,0.04401281,-0.250593612,-0.671843458,-0.671843458
C. albicans,1.344867896,0.377180751,-0.216959449,1.085219032,-0.574169252,0.279145263,1.831167551,0.071174828,0.698782523,0.986874,0.394622802,0.175591791,1.081124955,0.017635028,-0.08622233,1.908297602,0.245785077,3.007926037,-0.21821789,-0.21821789,-0.316623793,-0.837707817,-0.765559002,-0.316623793,-0.398409537,-1.641349411,-0.03551664,0.170313025,-0.21821789,0.58408166,-0.577350269,-0.545544726,0.646128518,-1.178966238,-0.473381068,0.845154255,-0.398409537,-0.845154254,-0.316623793,2.931977358,1.12687234,-0.316623793,-0.456435464,0.251432134,0.355035802,-0.21821789,-0.142349657,-0.333653238,-0.152409985,0,-0.304360189,2.01186954,1.25608102,-0.0179374,2.390457219,-0.769244236,-0.071174828,0.791559484,3.007926037,-0.21821789,-0.21821789,-0.21821789,1.274117979,-0.441769206,-0.21821789,0,-1.049958841,3.269092123,-0.845154255,-0.089415542,-0.21821789,0.178926168,1.034781429,0.206952328,1.085137518,0.16709693,1.505206906,0.298962717,1.178782063,-0.535028421,-0.473381068,0.461219979,0.812239912,0.804997928,-0.858438752,2.291985284,0.679323036,-0.192624204,1.266911938,-0.769244236,0.806842348,0.69456695,1.375209206,0.573955988,0.677356049,1.204198986,0.731194225,0.978282013,0.789029843,0.937106015,-0.992052129,0.057755533,0.543871846,0.285079779,-2.377045751,0.231451225,-0.536603212,0.084536994,1.176077609,1.176077609
C. glabrata,-0.489042871,-0.256482911,0.742229694,-0.083478387,-0.574169252,-0.372193684,-0.140859043,0.071174828,-0.635256839,-0.125842993,-0.358748002,-1.46326492,-0.432449982,0.480554526,0.610188794,-0.683569291,0.40460005,-0.316623793,-0.21821789,-0.21821789,-0.316623793,-0.837707817,-0.765559002,-0.316623793,-0.398409537,1.590057241,0.710332802,0.170313025,-0.21821789,-0.438061245,1.154700538,1.745743122,-1.049958841,1.571954984,2.01186954,0.845154255,-0.398409537,-0.845154254,-0.316623793,-0.837707817,-0.845154255,3.007926037,0.91287093,-0.276575348,1.183452671,-0.21821789,0.498223795,1.41802626,0.647742439,0,0.276691081,2.01186954,1.25608102,0.735433403,-0.398409537,0.473381068,-0.071174828,0.791559484,-0.316623793,-0.21821789,-0.21821789,-0.21821789,-0.509647191,-0.441769206,-0.21821789,1.290994449,-1.049958841,-0.441769206,-0.845154255,0.849447638,-0.21821789,1.09290038,-0.15444499,-0.127355278,0.02170275,0.82504109,0.116958645,1.164923692,0.234757445,0.686232105,-0.473381068,1.315833468,0.981121478,0.804997928,0.900313813,0.521254179,1.049862874,-0.192624204,-0.227759449,1.716006373,0.806842348,1.2987169,0.690322408,0.462867732,0.85248641,0.798289215,1.140662992,0.68913462,-1.775317147,0.764176134,-0.931607905,-2.041297107,0.651058286,-0.313372766,0.034820778,-1.24943494,1.199054096,0.345814215,1.241419527,1.241419527
C. subhashii,2.078432202,-0.256482911,0.022837837,-0.083478387,2.105287256,0.279145263,-1.126872339,0.071174828,1.365802203,1.265053248,0.0179374,0.995020146,0.576599976,0.387970626,0.19234212,0.313302591,0.801637481,-0.316623793,-0.21821789,-0.21821789,-0.316623793,-0.837707817,-0.765559002,-0.316623793,-0.398409537,-1.641349411,0.337408081,-0.425782562,-0.21821789,-0.438061245,1.154700538,1.745743122,0.646128518,-1.178966238,-0.473381068,0.845154255,-0.398409537,0.140859042,-0.316623793,-0.837707817,-0.845154255,-0.316623793,0.91287093,-0.276575348,-1.301797938,-0.21821789,0.284699311,-1.034325037,-0.152409985,-1.290994449,-1.46646273,2.01186954,0.296891877,0.358748002,-0.398409537,-0.769244236,-0.071174828,0.791559484,-0.316623793,-0.21821789,-0.21821789,-0.21821789,1.274117979,-0.441769206,-0.21821789,-1.290994449,0.646128518,-0.441769206,0.633865691,0.098357094,-0.21821789,-0.176508247,0.386112474,0.875567539,1.388976023,-0.05221779,1.505206906,-0.711325087,0.339649069,-0.290776316,-0.473381068,-0.250957929,0.136713649,0.154807294,-0.638594682,-1.249476927,0.12351328,0.045323342,-1.423496558,-0.769244236,0.806842348,-0.082197272,-1.021894587,0.129602965,0.171423897,-0.257076188,0.321725459,0.313243009,-1.578059686,0.421178901,-0.117878216,-1.322962669,-1.175057093,0.487043708,1.394332438,-1.259731432,0.575898757,0.454690927,-0.304382549,-0.304382549
D. hansenii,0.244521436,0.694012582,0.022837837,-0.667827097,-0.574169252,-0.372193684,0.845154254,-1.423496558,1.365802203,0.708694751,-1.488804207,0.995020146,-0.432449982,-0.074948871,0.19234212,0.313302591,0.484007536,-0.316623793,-0.21821789,-0.21821789,-0.316623793,-0.837707817,-0.765559002,-0.316623793,-0.398409537,-0.56421386,1.083257523,0.766408612,-0.21821789,0.58408166,-0.577350269,-0.545544726,0.646128518,0.196494373,-0.473381068,-0.633865691,-0.398409537,-0.845154254,-0.316623793,-0.837707817,1.12687234,-0.316623793,0.91287093,-0.276575348,2.011869541,-0.21821789,-0.35587414,0.016682662,0.647742439,0,0.857742351,-0.473381068,0.296891877,1.112118805,-0.398409537,-0.769244236,-1.565846215,-0.870715432,3.007926037,-0.21821789,-0.21821789,-0.21821789,-0.509647191,1.413661459,-0.21821789,0,-1.049958841,-0.441769206,-0.845154255,0.661675002,-0.21821789,0.026597133,0.926669937,0.206952328,0.173622002,0.60572637,0.437323628,0.010309059,-0.079917428,0.197727895,-0.473381068,-0.393393511,0.643358346,-0.170288023,-1.298126894,0.199303068,-0.802836314,0.759165981,1.565846215,-0.769244236,1.277500384,0.090417,0.233731209,-0.037029419,0.151964969,0.473561399,0.321725459,0.29878564,0.197257461,0.709599354,-0.939759889,0.102877043,-0.017932948,1.226213333,-0.060700655,0.158935913,-0.98814222,-1.440981703,-0.217253453,-0.217253453
K. lactis,2.078432202,0.377180751,1.701418837,0.500870323,2.105287256,1.581823158,0.845154254,0.071174828,-0.635256839,1.68232212,0.771308204,-0.234122387,1.081124955,1.221225722,1.863728816,0.113928215,2.151564748,-0.316623793,-0.21821789,-0.21821789,-0.316623793,-0.837707817,-0.765559002,-0.316623793,-0.398409537,1.590057241,1.083257523,1.958599787,-0.21821789,-0.438061245,2.886751346,-0.545544726,0.646128518,0.196494373,2.01186954,-0.633865691,-0.398409537,-0.845154254,-0.316623793,-0.837707817,-0.845154255,-0.316623793,-0.456435464,1.835454582,1.183452671,-0.21821789,2.419944149,1.76836216,1.447894864,1.290994449,1.438793621,-0.473381068,0.776486449,1.112118805,2.390457219,-0.769244236,-0.071174828,-0.870715432,-0.316623793,4.364357805,-0.21821789,-0.21821789,3.057883149,-0.441769206,-0.21821789,0,0.646128518,1.413661459,-0.845154255,1.22499291,-0.21821789,1.549887486,0.926669937,2.714259371,0.781299012,3.01818829,1.718783562,1.45357735,0.864107191,1.663240526,-0.473381068,1.030962305,1.656647742,0.804997928,0.02093753,0.521254179,-0.247026558,1.47300862,0.370109106,-0.769244236,-0.134473725,1.471331171,1.146913607,0.629500116,2.039481074,1.447744848,0.321725459,1.816809451,-1.380802226,0.824874699,-1.818063645,-0.864528129,-0.054775942,0.398327651,0.710952903,-1.475101686,2.44997599,1.296815628,0.430877753,0.430877753
L. kluyveri,1.344867896,-0.256482911,0.502432408,-0.667827097,2.105287256,-0.372193684,0.845154254,0.071174828,0.698782523,1.125963624,-0.358748002,1.814448502,-0.936974961,-0.445284469,0.053059895,0.313302591,0.484007536,-0.316623793,4.364357805,-0.21821789,-0.316623793,-0.837707817,-0.765559002,-0.316623793,-0.398409537,0.512921691,1.083257523,0.170313025,-0.21821789,-0.438061245,-0.577350269,-0.545544726,-1.049958841,-1.178966238,-0.473381068,-0.633865691,-0.398409537,-0.845154254,3.007926037,-0.837707817,1.12687234,-0.316623793,-0.456435464,-0.276575348,0.355035802,-0.21821789,0.071174827,0.016682662,-0.95256241,1.290994449,0.276691081,-0.473381068,-0.182702694,1.112118805,-0.398409537,-0.769244236,-0.071174828,-0.870715432,-0.316623793,-0.21821789,-0.21821789,-0.21821789,1.274117979,-0.441769206,-0.21821789,0,-1.049958841,1.413661459,-0.845154255,0.661675002,-0.21821789,0.026597133,0.494223966,0.541259934,0.173622002,0.38641165,1.184841923,0.226799303,-0.709267173,0.93048421,-0.473381068,-0.393393511,-0.032167917,0.154807294,-0.418750611,-0.444599152,-0.617566395,0.759165981,-0.526693726,0.473381068,-0.134473725,-0.254811543,0.119583409,-0.148117675,0.249259613,0.108242606,0.116991076,0.197584052,0.789029843,0.611543683,-1.188368605,0.528824098,-0.420228686,0.506306233,1.236678366,0.516894782,-0.643176106,0.140574511,-0.869698724,-0.869698724
L. waltii,-0.489042871,-0.573314742,1.461621551,1.085219032,-0.574169252,-0.372193684,-0.140859043,-1.423496558,1.365802203,-0.821291114,1.524679007,1.814448502,1.585649934,1.776729119,1.028035468,0.313302591,1.119267426,-0.316623793,-0.21821789,4.364357805,-0.316623793,-0.837707817,-0.765559002,-0.316623793,-0.398409537,-0.56421386,0.337408081,-1.021878149,4.364357805,-0.438061245,-0.577350269,-0.545544726,-1.049958841,-1.178966238,-0.473381068,-0.633865691,-0.398409537,-0.845154254,-0.316623793,-0.837707817,-0.845154255,3.007926037,0.91287093,0.779439617,-1.301797938,4.364357805,0.284699311,-0.683989137,-0.152409985,0,0.276691081,-0.473381068,-0.662297265,0.358748002,-0.398409537,0.473381068,-1.565846215,-0.870715432,-0.316623793,-0.21821789,-0.21821789,4.364357805,-0.509647191,3.269092123,-0.21821789,-1.290994449,2.342215876,-0.441769206,0.633865691,0.661675002,-0.21821789,0.78824231,1.4672274,-0.294509081,0.02170275,1.92161469,-0.310194666,-0.422671428,1.073890439,0.93048421,2.01186954,0.318784397,-0.707694181,-0.170288023,0.460625672,-0.927525817,-0.061756639,-0.43057175,-0.227759449,0.473381068,-0.134473725,-0.168504408,-0.22285999,-0.037029419,0.48276676,0.392379445,-0.087743307,0.573475663,0,0.045680456,-0.10918017,0.243656153,-0.972247886,-1.483939457,1.901068347,-0.258992924,-0.520339336,2.409632435,0.47678998,0.47678998
N. bacillisporus,-0.489042871,3.862330892,0.98202698,-0.667827097,-0.574169252,1.581823158,0.845154254,0.071174828,-0.635256839,2.099590993,-0.735433403,-1.46326492,-0.432449982,0.110218928,0.470906569,-0.882943667,0.960452454,-0.316623793,-0.21821789,-0.21821789,3.007926037,0.418853908,-0.765559002,3.007926037,2.390457219,1.590057241,0.337408081,0.766408612,-0.21821789,-0.438061245,1.154700538,1.745743122,0.646128518,2.947415595,2.01186954,2.3241742,-0.398409537,3.098898933,-0.316623793,-0.837707817,1.12687234,-0.316623793,-1.825741858,2.363462065,0.355035802,-0.21821789,1.565846214,2.469033959,-0.95256241,1.290994449,0.276691081,-0.473381068,1.25608102,0.358748002,-0.398409537,0.473381068,-0.071174828,-0.870715432,-0.316623793,-0.21821789,4.364357805,-0.21821789,-0.509647191,-0.441769206,-0.21821789,2.581988898,-1.049958841,1.413661459,-0.845154255,-0.277188178,-0.21821789,0.99134769,-0.478779468,1.711336554,0.173622002,-0.71016195,-0.203406338,2.896845642,-0.499483925,-0.779280526,-0.473381068,0.60365556,-0.201049483,0.479902611,1.559846025,0.360278623,1.60567263,0.283270888,0.370109106,0.473381068,0.806842348,0.263031271,-0.10871219,1.073853139,1.163829272,-0.09471228,0.731194225,0.2698709,-0.789029843,-0.536680095,-0.192462302,-0.315850569,-1.084153041,-0.946572568,-1.209228168,-0.639112892,1.439209439,1.565894327,-0.428447503,-0.428447503
N. bracarensis,-0.489042871,0.06034892,0.022837837,-0.667827097,-0.574169252,-0.372193684,-0.140859043,0.071174828,-0.635256839,-0.404022242,-1.112118805,-1.053550743,-0.936974961,0.110218928,0.749471018,0.113928215,0.007562618,-0.316623793,-0.21821789,-0.21821789,-0.316623793,-0.837707817,-0.765559002,-0.316623793,-0.398409537,0.512921691,-0.03551664,0.170313025,-0.21821789,0.58408166,1.154700538,1.745743122,-1.049958841,0.196494373,-0.473381068,-0.633865691,-0.398409537,0.140859042,-0.316623793,0.418853908,-0.845154255,-0.316623793,0.91287093,0.251432134,0.355035802,-0.21821789,0.498223795,0.717354461,1.447894864,0,0.276691081,-0.473381068,1.25608102,-0.0179374,-0.398409537,0.473381068,-0.071174828,0.791559484,-0.316623793,-0.21821789,-0.21821789,-0.21821789,-0.509647191,-0.441769206,-0.21821789,1.290994449,-1.049958841,-0.441769206,-0.845154255,0.661675002,-0.21821789,0.534360584,-0.262556482,-0.294509081,-0.58597426,-0.92947667,-0.203406338,0.65977979,-0.079917428,0.686232105,-0.473381068,-0.108522348,1.487766176,0.479902611,0.460625672,1.165156399,1.235132792,-0.192624204,-0.825628003,1.716006373,0.336184312,0.69456695,1.146913607,0.074058837,0.210341755,0.635925307,0.731194225,0.197584052,0.394514922,0.382225181,-0.775720219,0.083023578,1.308297926,1.470767833,-0.49970725,-0.005746736,-0.751518123,-1.25292733,-0.704406691,-0.704406691
