Species,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_MEF2A_6,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_par_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_NMyristoyl,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_LysEnd_APsAcLL_1,TRG_NLS_MonoExtN_4,N_homorep,P_homorep,Q_homorep,S_homorep,T_homorep,PY,FRG,SGFYSG,PG_rich,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
S. cerevisiae,-0.804280089,-0.749222206,-1.24759801,-0.691727702,-0.569398623,-1.017926385,-1.155255194,1.183452671,-0.58408166,-1.097194941,-0.443896762,-0.648106263,-0.922531208,-1.242380633,-1.033874095,-0.017657748,-1.078792428,0,-0.316623792,-0.218217892,-0.218217892,-0.316623792,0.418853908,1.244033378,-0.316623792,-0.398409537,-0.600300225,-0.382991678,-1.022256368,-0.218217892,-0.438061246,-0.569398623,-0.509647192,0.577350269,0.107118949,-0.47338107,-0.633865691,-0.398409537,0.119522861,-0.316623792,0.569398623,1.126872338,-0.316623792,-0.569398623,-0.477032547,-0.550568484,-0.218217892,-0.952026842,-0.824786099,-0.218217892,-0.929268232,-1.100491066,-1.398994834,-0.47338107,-1.035470235,-0.370235493,-0.545544725,-0.765559002,-0.135988359,-0.845154254,-0.316623792,-0.218217892,-0.218217892,-0.398409537,-0.509647192,-0.218217892,-0.044451031,0.506369683,-0.509647192,0.633865691,-1.184259454,-0.218217892,-1.030285047,-0.543031009,-0.982824387,-0.629377632,-0.811942358,-1.221694444,-0.918424022,-1.095916118,-1.163656366,-0.545544725,-1.17401752,-1.141692744,-1.350858067,-0.747937161,-0.686357802,-0.814286791,-1.028536635,0.010479625,0,-0.888868966,-1.237877877,-0.933272284,-0.788729102,-1.157282175,-1.086977852,-1.232552044,-1.141255929,1.175349944,-1.831871728,1.381291476,0.980964359,-0.440150616,-0.017682156,-0.582661192,1.634504206,0.026645015,-0.740262246,-0.885071298,-0.885071298
C. albicans,-0.359809513,0.317467036,-0.305167859,1.051426108,-0.569398623,0.07830203,1.755987895,-0.059172634,0.438061245,0.026760852,0.332922571,0.087581927,0.922531208,-0.079132524,-0.210694721,1.465592986,-0.059932913,-1,3.007926036,-0.218217892,-0.218217892,-0.316623792,-0.837707817,-0.765559002,-0.316623792,-0.398409537,-1.500750563,-0.382991678,0.024933082,-0.218217892,0.58408166,-0.569398623,-0.509647192,0.577350269,-1.017630019,-0.47338107,0.845154254,-0.398409537,-0.717137166,-0.316623792,2.064070008,1.126872338,-0.316623792,-0.569398623,0.079505425,0.129545525,-0.218217892,-0.171067324,-0.329914439,-0.218217892,-0.206504052,-0.095694875,-0.349748709,2.01186954,0.807315776,-0.370235493,1.74574312,-0.765559002,-0.135988359,-0.845154254,3.007926036,-0.218217892,-0.218217892,-0.398409537,-0.509647192,-0.218217892,-0.044451031,-1.012739367,3.057883146,-0.845154254,-0.321735228,-0.218217892,-0.027547728,0.712416829,0.010511491,0.609709582,0.153196671,0.488677777,0.150243507,1.061668739,-0.756376638,-0.545544725,-0.047675838,0.570846372,0.540343227,-0.747937161,1.355556661,-0.276550231,-0.452556119,0.67069596,-1.195228609,0.519904489,0.257749914,0.618292888,-0.048251663,0.253758599,0.575458863,0.405650041,0.429156875,0.780432363,0.698101995,-0.968340484,0.17250042,0.539664442,0.87062765,-2.637564937,0.26543047,-0.316030938,0.406005799,0.788731712,0.788731712
C. glabrata,-0.359809513,-0.215877585,0.448776262,-0.110676432,-0.569398623,-0.469812178,-0.184840831,-0.059172634,-0.58408166,-0.113733622,-0.443896762,-1.383794453,-0.461265604,0.336313229,0.303792388,-0.759283114,0.179798738,-1,-0.316623792,-0.218217892,-0.218217892,-0.316623792,-0.837707817,-0.765559002,-0.316623792,-0.398409537,1.20060045,0.582147351,0.024933082,-0.218217892,-0.438061246,0.925272762,1.274117977,-1.154700539,1.231867918,2.01186954,0.845154254,-0.398409537,-0.717137166,-0.316623792,-0.925272762,-0.845154255,3.007926036,0.925272762,-0.29151989,0.809659535,-0.218217892,0.297508387,0.907264709,-0.218217892,-0.206504052,-0.095694875,0.174874354,2.01186954,0.807315776,0.601632675,-0.545544725,0.239237188,-0.135988359,0.633865691,-0.316623792,-0.218217892,-0.218217892,-0.398409537,-0.509647192,-0.218217892,0.889020605,-1.012739367,-0.509647192,-0.845154254,0.540788999,-0.218217892,0.666655031,-0.22916905,-0.210229815,-0.078672204,1.118335701,0.244338889,0.710021737,0.136989514,0.465462548,-0.545544725,0.953516768,0.713557965,0.540343227,0.560952871,0.274543122,0.476280953,-0.452556119,-0.209592487,1.195228609,0.519904489,0.898733254,0.373308913,0.185583318,0.538968968,0.479549052,0.733290458,0.429156875,-1.589073125,0.757285172,-0.963766617,-1.716648587,0.649709405,-0.104067594,0.053609627,-1.245058524,1.157748711,0.421295348,1.003144242,1.003144242
C. subhashii,2.751484513,-0.215877585,0.260290232,0.470374838,2.419944147,0.626416237,-0.184840831,-0.059172634,2.993418509,1.431705593,0.332922571,2.662490594,1.845062416,0.585580681,0.303792388,1.836405669,1.318524079,0,-0.316623792,-0.218217892,-0.218217892,-0.316623792,-0.837707817,-0.765559002,-0.316623792,-0.398409537,-0.600300225,0.260434341,0.548527807,-0.218217892,-0.438061246,0.925272762,1.274117977,0.577350269,-1.017630019,-0.47338107,0.845154254,-0.398409537,0.119522861,-0.316623792,-0.925272762,-0.845154255,-0.316623792,0.925272762,0.265018082,-1.230682494,-0.218217892,0.297508387,-0.577350269,-0.218217892,0.516260128,-0.095694875,-0.349748709,2.01186954,0.438758574,0.277676619,1.74574312,-0.765559002,-0.135988359,0.633865691,-0.316623792,-0.218217892,-0.218217892,2.390457217,-0.509647192,-0.218217892,-0.977922666,2.025478732,1.274117977,0.633865691,0.397034961,-0.218217892,0.203853191,1.444761402,1.114218023,1.711120439,1.440048711,1.95471111,-0.358645792,0.753442331,-0.145457045,-0.545544725,0.077473238,0.570846372,1.080686454,0.233730363,-0.566245187,0.368733641,-0.164565861,-1.089880933,-1.195228609,1.224291217,0.328970285,-0.443304335,0.458390796,0.538968968,0.415609179,1.060930875,0.804180828,-1.983990706,0.860658087,-0.127562571,-2.274209925,-1.210224543,0.698798802,0.706591198,-1.000865747,0.607644248,-0.920722795,-0.130718613,-0.130718613
D. hansenii,0.529131637,0.317467036,-0.305167859,-0.691727702,-0.569398623,-0.469812178,-0.184840831,-1.301797939,0.949132698,0.588738748,-1.609125761,0.823270118,-0.461265604,-0.245310826,-0.210694721,-0.017657748,0.059932913,-1,-0.316623792,-0.218217892,-0.218217892,-0.316623792,-0.837707817,-0.765559002,-0.316623792,-0.398409537,-0.600300225,0.582147351,0.024933082,-0.218217892,0.58408166,-0.569398623,-0.509647192,0.577350269,0.107118949,-0.47338107,-0.633865691,-0.398409537,-0.717137166,-0.316623792,-0.925272762,1.126872338,-0.316623792,0.925272762,-0.477032547,1.489773545,-0.218217892,-0.327259228,-0.329914439,-0.218217892,0.516260128,-1.100491066,0.174874354,-0.47338107,0.070201372,0.601632675,-0.545544725,-0.765559002,-1.563866137,-0.845154254,3.007926036,-0.218217892,-0.218217892,-0.398409537,1.274117977,-0.218217892,-0.044451031,-1.012739367,-0.509647192,-0.845154254,0.253280923,-0.218217892,-0.258948648,0.712416829,-0.320600468,-0.216348561,0.474909681,0.610847222,-0.256867932,-0.171236894,-0.145457045,-0.545544725,-0.548272141,0.428134779,-0.270171613,-1.075159669,-0.446132571,-0.814286791,0.411414654,0.890768071,-1.195228609,0.872097853,-0.098351941,-0.36164301,-0.399004134,-0.151540347,0.031969937,0.078009624,-0.063062064,-0.601779172,0.559109808,-0.970177398,-0.080042069,-0.190064495,1.547886846,0.483421822,-0.341384353,-1.603007929,-1.516708889,-0.42552209,-0.42552209
K. lactis,1.862543362,0.317467036,1.014234353,0.470374838,2.419944147,1.174530445,0.785573532,-0.059172634,-0.58408166,1.010222171,0.721332238,-0.648106263,0.922531208,0.834848133,1.126971762,-0.017657748,1.258591167,1,-0.316623792,-0.218217892,-0.218217892,-0.316623792,-0.837707817,-0.765559002,-0.316623792,-0.398409537,1.20060045,0.582147351,1.595717257,-0.218217892,-0.438061246,2.419944147,-0.509647192,0.577350269,0.107118949,2.01186954,-0.633865691,-0.398409537,-0.717137166,-0.316623792,-0.925272762,-0.845154255,-0.316623792,-0.569398623,1.00706871,0.809659535,-0.218217892,1.234659809,0.907264709,-0.218217892,0.516260128,0.909101316,1.224120479,-0.47338107,0.438758574,0.601632675,1.74574312,-0.765559002,-0.135988359,-0.845154254,-0.316623792,-0.218217892,-0.218217892,2.390457217,-0.509647192,-0.218217892,-0.044451031,0.506369683,1.274117977,-0.845154254,0.684543037,-0.218217892,0.705221851,0.293934216,1.555700635,0.472033225,0.796622691,1.099524999,0.811799597,0.445215922,1.076382141,-0.545544725,0.327771389,0.856269558,0.270171613,-0.093492145,0.274543122,-0.276550231,0.411414654,-0.869808822,-1.195228609,-0.184482238,0.613851769,0.618292888,-0.08722416,0.959278986,0.6074288,-0.085810585,0.827619825,-0.20686159,0.205283482,-1.770575875,0.046229176,0.176486539,0.680418421,0.615587914,-1.270483513,2.095042994,0.569871705,0.328271265,0.328271265
L. kluyveri,-0.804280089,-0.215877585,0.260290232,-0.691727702,0.925272762,-0.469812178,0.785573532,-0.059172634,0.438061245,-0.254228096,-0.443896762,1.191114213,-0.922531208,-0.577667428,-0.107797299,-0.017657748,0.119865825,-1,-0.316623792,4.364357808,-0.218217892,-0.316623792,-0.837707817,-0.765559002,-0.316623792,-0.398409537,0.300150112,0.582147351,0.024933082,-0.218217892,-0.438061246,-0.569398623,-0.509647192,-1.154700539,-1.017630019,-0.47338107,-0.633865691,-0.398409537,-0.717137166,3.007926036,-0.925272762,1.126872338,-0.316623792,-0.569398623,-0.29151989,0.129545525,-0.218217892,-0.327259228,-0.08247861,-0.218217892,-0.929268232,0.909101316,0.174874354,-0.47338107,-0.298355831,0.601632675,-0.545544725,-0.765559002,-0.135988359,-0.845154254,-0.316623792,-0.218217892,-0.218217892,-0.398409537,-0.509647192,-0.218217892,-0.044451031,-1.012739367,1.274117977,-0.845154254,-0.17798119,-0.218217892,-0.220381828,-0.019927743,0.231252798,-0.078672204,-0.490229348,-0.244338889,0.099354577,-0.993173982,0.261822684,-0.545544725,-0.798570293,-0.428134779,-0.270171613,-0.420714653,-0.566245187,-0.706739479,-0.164565861,-1.089880933,0,-0.888868966,-0.668114909,-0.279981685,-0.593866618,-0.226595707,-0.415609179,-0.57727121,-0.356049527,1.175349944,-0.689498899,-0.950348927,0.869452091,-0.454044276,0.831405888,1.168332753,1.400300107,-1.086343087,-0.665559949,-0.35389005,-0.35389005
L. waltii,-0.359809513,-0.482549895,1.014234353,1.051426108,-0.569398623,-0.469812178,-0.184840831,-1.301797939,0.949132698,-0.816205992,1.498151571,1.191114213,1.383796812,1.416472188,0.612484653,0.167748594,0.599329127,1,-0.316623792,-0.218217892,4.364357808,-0.316623792,-0.837707817,-0.765559002,-0.316623792,-0.398409537,-0.600300225,-0.061278668,-1.022256368,4.364357808,-0.438061246,-0.569398623,-0.509647192,-1.154700539,-1.017630019,-0.47338107,-0.633865691,-0.398409537,-0.717137166,-0.316623792,-0.925272762,-0.845154255,3.007926036,0.925272762,0.265018082,-1.230682494,4.364357808,-0.171067324,-0.577350269,-0.218217892,-0.206504052,-0.095694875,0.174874354,-0.47338107,-0.666913033,-0.046279437,-0.545544725,0.239237188,-1.563866137,-0.845154254,-0.316623792,-0.218217892,4.364357808,-0.398409537,3.057883146,-0.218217892,-0.977922666,2.025478732,-0.509647192,0.633865691,0.253280923,-0.218217892,0.242420011,0.921658136,-0.320600468,-0.354024918,2.083474731,-0.488677777,-0.358645792,0.753442331,0.465462548,1.74574312,0.077473238,-0.856269558,-0.540343227,0.070119109,-0.806470418,-0.169002919,-1.316526893,-1.089880933,0,-0.184482238,-0.383233425,-0.36164301,-0.515921624,0.103647878,-0.031969937,-0.413451002,0.112730414,0.188055991,-0.631044667,-0.480780117,0.359447457,-0.873258242,-1.743986312,1.872800159,-0.044913512,-0.504182327,2.84543485,0.499154177,0.499154177
N. bacillisporus,0.084661062,4.050879385,2.899094655,-0.691727702,-0.569398623,2.27075886,1.755987895,2.426077975,-0.58408166,3.117639282,-0.055487095,-0.280262168,-0.461265604,1.998096242,2.979125353,1.465592986,3.056578547,3,-0.316623792,-0.218217892,-0.218217892,3.007926036,0.418853908,-0.765559002,3.007926036,2.390457217,3.001501125,2.83413842,2.119311982,-0.218217892,0.58408166,2.419944147,3.057883146,0.577350269,3.481365855,2.01186954,2.324174199,-0.398409537,3.466162968,-0.316623792,0.569398623,1.126872338,-0.316623792,0.925272762,3.604245908,2.169887554,-0.218217892,3.421346461,3.629058835,-0.218217892,1.961788488,2.918693697,2.273366604,-0.47338107,2.650101788,2.869325067,-0.545544725,1.244033379,1.291889418,0.633865691,-0.316623792,4.364357808,-0.218217892,-0.398409537,-0.509647192,-0.218217892,3.68943551,-1.012739367,1.274117977,-0.845154254,2.984607641,-0.218217892,3.173498327,1.967864668,3.321631085,1.986473153,1.761761721,1.221694444,3.814246467,1.061668739,2.705501055,1.74574312,2.205007526,2.568808674,1.891201294,3.178732936,3.157245893,3.48760569,1.851365943,2.871417076,2.390457217,2.633064671,2.536801787,3.231455283,3.342355558,3.210939797,3.005174061,2.699132959,2.890251567,0.780432363,0.872832219,-0.559261924,-0.071842637,-0.048795815,0.3773285,-0.771478198,0.027124556,1.925029652,1.47688367,-0.440942449,-0.440942449
N. bracarensis,0.084661062,-0.482549895,-0.116681828,-0.691727702,-0.569398623,1.174530445,-0.184840831,-0.059172634,-0.58408166,-0.113733622,-0.832306428,-1.383794453,-0.922531208,-0.162221675,0.509587231,-0.759283114,-0.359597476,-1,-0.316623792,-0.218217892,-0.218217892,-0.316623792,-0.837707817,-0.765559002,-0.316623792,-0.398409537,0.300150112,-0.382991678,0.548527807,-0.218217892,-0.438061246,0.925272762,1.274117977,-1.154700539,0.107118949,-0.47338107,-0.633865691,-0.398409537,-0.717137166,-0.316623792,-0.925272762,-0.845154255,-0.316623792,-0.569398623,0.079505425,0.809659535,-0.218217892,0.297508387,0.41239305,-0.218217892,1.239024308,-0.095694875,-0.874371771,-0.47338107,1.175872979,-0.370235493,1.74574312,1.244033379,-0.135988359,2.112885637,-0.316623792,-0.218217892,-0.218217892,-0.398409537,1.274117977,-0.218217892,-0.044451031,-1.012739367,-0.509647192,-0.845154254,0.109526886,-0.218217892,0.280986831,-0.856892969,0.010511491,-0.354024918,-0.490229348,0.610847222,-0.002423283,-0.068494758,0.465462548,-0.545544725,1.078665844,0.285423186,1.080686454,-0.584325907,0.754993583,0.906470201,-0.164565861,0.230551737,1.195228609,-0.536675602,0.756292512,0.699954213,0.107638324,0.148681095,0.351669305,0.569470249,0.218205901,-0.404320381,0.73978511,-0.58555452,-0.084961728,1.59505947,-0.698327527,-0.524050889,-0.610666142,-1.044786035,-0.3986172,1.747956501,1.747956501
