Species,Group,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DEG_SCF_TRCP1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_JIP1_4,DOC_MAPK_MEF2A_6,DOC_MAPK_NFAT4_5,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_CaM_IQ_9,LIG_CtBP_PxDLS_1,LIG_EF_ALG2_ABM_1,LIG_EH_1,LIG_HCF-1_HBM_1,LIG_HOMEOBOX,LIG_KEPE_2,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PAM2_1,LIG_PCNA_PIPBox_1,LIG_PDZ_Class_1,LIG_PDZ_Wminus1_1,LIG_PTAP_UEV_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_Rb_LxCxE_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_anti_2,LIG_SUMO_SIM_par_1,LIG_WRPW_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_NMyristoyl,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_ER_FFAT_1,TRG_LysEnd_APsAcLL_1,TRG_NES_CRM1_1,TRG_NLS_MonoExtN_4,A_homorep,C_homorep,D_homorep,E_homorep,G_homorep,H_homorep,I_homorep,K_homorep,L_homorep,M_homorep,N_homorep,P_homorep,Q_homorep,R_homorep,S_homorep,T_homorep,V_homorep,Y_homorep,FG_rich,PY,FRG,SGFYSG,PG_rich,ELASTIN_LIKE,FGxF,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
S_cerevisiae,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,3,4,3,9,2,1,0,7,9,2,0,0,5,4,1,1,0,16,1,13,23,18,3,35,-15,0.710754539,-1.41754386,3.948242188,0.298245614,0.223143551,0.693147181,7.217540282,0.251037663,0.461546504,-0.964994527,-0.964994527
C_albicans,1,4,1,3,0,1,0,0,0,2,5,0,2,1,4,5,5,15,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,17,18,8,9,11,15,10,6,1,1,8,3,5,7,1,12,1,1,0,1,11,2,30,68,31,6,97,-9,0.802365787,-0.780740741,5.463867188,0.096296296,-0.810930216,0,1.174104913,0.718587085,-1.045678379,-1.237468238,-1.237468238
C_glabrata,1,0,0,0,1,0,1,0,0,0,0,1,0,2,1,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,6,4,8,3,10,1,7,7,2,0,13,4,4,3,1,9,3,4,0,1,17,3,22,39,24,5,59,-14,0.796241669,-0.738888889,4.624023438,0.222222222,-1.029619417,0.405465108,4.586250392,-1.639938854,1.043634608,-0.25134932,-0.25134932
C_subhashii,2,8,0,1,1,0,1,0,0,4,10,1,5,3,2,1,6,17,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,4,0,13,17,9,7,14,28,7,7,0,0,6,7,7,4,1,8,1,1,0,4,13,1,21,78,31,11,109,-12,0.786137859,-1.290070922,5.407226563,0.09929078,0.133531393,-0.693147181,2.588718823,-0.528045979,-1.205172077,0.210026858,0.210026858
D_hansenii,2,2,1,2,1,0,0,0,0,1,7,1,1,2,5,3,2,9,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,10,6,8,6,1,10,13,7,3,0,4,6,3,2,1,8,0,2,0,5,10,4,18,49,20,8,62,-6,0.79287034,-1.069473684,4.313476563,0.147368421,0.336472237,0.693147181,0.656101722,1.396681264,0.064805409,-1.363856916,-1.363856916
K_lactis,2,2,0,0,1,0,0,0,1,0,7,2,1,2,3,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,2,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,17,5,4,7,19,13,7,11,4,0,14,8,4,3,1,10,2,4,1,1,22,5,26,71,32,6,103,-17,0.815356662,-1.220740741,5.346679688,0.2,-0.510825624,0.916290732,6.091301405,0.896772429,0.110258391,-0.223121982,-0.223121982
L_kluyveri,2,0,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,2,1,13,6,4,4,4,0,8,10,1,1,2,13,1,0,1,1,18,6,16,37,24,3,58,-12,0.729185117,-1.4575,5.354492188,0.3,0.200670696,0.510825624,3.83483331,-0.195686446,0.564276547,-0.79483554,-0.79483554
L_waltii,2,1,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,4,2,1,8,10,0,3,1,0,7,1,2,0,1,10,1,1,0,0,8,2,13,29,14,2,44,-6,0.680176471,-1.022413793,5.577148438,0.172413793,-1.386294361,0,1.124291167,-0.102763553,-0.29722109,1.304955805,1.304955805
N_bacillisporus,2,0,3,1,0,0,3,0,0,0,4,0,0,1,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,1,6,1,3,4,11,1,0,0,11,2,3,2,1,7,3,1,0,1,13,1,14,37,15,4,42,-12,0.717225899,-1.041428571,3.801757813,0.2,-1.386294361,-0.693147181,3.955035097,0.45323069,0.840941478,-0.022370431,-0.022370431
N_bracarensis,1,0,0,2,0,1,1,1,0,0,0,0,0,0,2,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,7,1,5,3,0,0,11,7,3,3,4,6,2,5,0,0,18,4,18,22,24,3,43,-14,0.746425249,-0.867164179,4.403320313,0.328358209,-0.405465108,-1.609437912,4.887441468,-0.585792295,0.40185997,-0.878752509,-0.878752509
