Species,Group,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DEG_SCF_TRCP1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_JIP1_4,DOC_MAPK_MEF2A_6,DOC_MAPK_NFAT4_5,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_CaM_IQ_9,LIG_CtBP_PxDLS_1,LIG_EF_ALG2_ABM_1,LIG_EH_1,LIG_HCF-1_HBM_1,LIG_HOMEOBOX,LIG_KEPE_2,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PAM2_1,LIG_PCNA_PIPBox_1,LIG_PDZ_Class_1,LIG_PDZ_Wminus1_1,LIG_PTAP_UEV_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_Rb_LxCxE_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_anti_2,LIG_SUMO_SIM_par_1,LIG_WRPW_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_NMyristoyl,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_ER_FFAT_1,TRG_LysEnd_APsAcLL_1,TRG_NES_CRM1_1,TRG_NLS_MonoExtN_4,A_homorep,C_homorep,D_homorep,E_homorep,G_homorep,H_homorep,I_homorep,K_homorep,L_homorep,M_homorep,N_homorep,P_homorep,Q_homorep,R_homorep,S_homorep,T_homorep,V_homorep,Y_homorep,FG_rich,PY,FRG,SGFYSG,PG_rich,ELASTIN_LIKE,FGxF,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
S_cerevisiae,2,2,0,6,0,0,3,0,4,0,5,7,5,1,9,14,19,30,1,0,0,0,0,0,2,0,2,0,0,0,1,7,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,0,1,8,4,0,7,4,0,2,2,3,0,0,7,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,22,0,40,23,22,26,13,10,19,12,18,1,18,20,5,11,20,22,5,21,2,4,38,38,85,117,99,11,222,0,0.890906155,-0.759615385,7.389648438,0.243589744,0.100083459,-0.100083459,-5.795657089,2.464887326,-0.372965544,-1.470490459,-1.470490459
C_albicans,1,13,6,13,4,2,2,4,3,4,29,11,9,6,31,27,30,72,1,1,0,0,0,0,0,0,0,0,0,1,1,16,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0,1,0,1,0,0,4,0,1,1,1,15,4,0,22,6,0,7,3,3,1,6,16,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,0,30,0,91,63,43,40,30,61,48,40,17,1,29,27,17,21,41,42,10,24,1,13,56,58,137,314,177,31,482,2,0.899702044,-0.988467375,8.317382813,0.172989378,-0.068992871,-0.84729786,-5.449205504,2.648704586,0.009130395,-0.278863975,-0.278863975
C_glabrata,1,1,3,13,2,1,2,3,3,0,9,6,3,3,28,25,12,51,3,0,0,0,0,1,0,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,1,0,3,0,0,0,0,0,1,2,9,5,0,16,10,0,3,2,4,1,6,11,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,36,0,79,28,34,26,20,23,50,24,22,1,41,32,11,20,32,40,12,21,3,14,73,54,119,231,155,28,361,-19,0.905072341,-0.990619137,5.502929688,0.238273921,-0.241162057,-0.361013346,-1.87553263,2.14384285,0.378288429,-0.721122898,-0.721122898
C_subhashii,2,16,4,13,2,2,3,2,3,7,31,9,14,6,31,26,26,83,1,0,0,0,0,1,1,0,0,0,0,0,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,2,0,0,1,0,0,1,2,16,2,0,21,6,0,3,3,3,1,5,14,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,1,1,0,0,34,0,80,55,51,41,25,55,32,29,20,0,19,27,16,16,22,33,13,11,1,14,46,42,114,272,143,31,424,-4,0.890426896,-0.987142857,6.704101563,0.157142857,0.336472237,-0.090971778,-2.53841934,1.804385309,-0.051785518,0.132484674,0.132484674
D_hansenii,2,5,6,11,2,0,1,2,2,4,21,5,10,4,25,24,18,59,1,1,0,0,0,0,1,0,0,0,0,0,2,15,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,2,1,0,0,3,0,0,1,0,1,0,3,13,6,0,15,9,0,3,3,5,0,5,15,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,41,0,68,43,39,31,17,30,42,28,22,0,18,30,9,11,26,26,13,25,1,19,48,48,106,224,139,29,352,0,0.901293368,-1.010240964,7.448242188,0.192771084,0.489548225,-0.16034265,-2.385720231,1.184694931,-0.201193011,-0.642454766,-0.642454766
K_lactis,2,8,6,18,3,2,8,3,4,0,26,11,7,6,38,41,21,77,3,0,0,0,0,1,0,0,0,0,0,1,3,15,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,1,2,0,4,0,0,0,0,0,0,1,19,8,0,27,11,0,5,3,7,0,5,15,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,3,0,0,42,0,108,43,47,39,41,42,63,43,32,0,47,35,12,17,31,37,16,27,1,10,82,63,136,344,188,23,508,-19,0.898069637,-1.16512301,6.092773438,0.20984081,-0.287682073,0.030771659,-3.767224967,3.646441276,0.438486404,-0.33430381,-0.33430381
L_kluyveri,2,7,3,13,0,2,4,3,3,2,20,6,11,0,18,23,17,52,1,0,1,0,0,0,0,0,0,0,0,0,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,1,12,5,0,16,8,0,1,3,4,0,5,11,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,31,0,69,34,35,26,29,36,38,15,24,1,26,28,7,16,23,37,11,18,2,7,54,47,108,223,135,16,345,-7,0.897942082,-1.06120332,6.497070313,0.209543569,0.071458964,0.040821995,-3.928555877,1.23642079,0.241090619,-1.02500681,-1.02500681
L_waltii,2,4,2,17,3,0,2,2,2,3,8,11,11,5,44,30,22,59,3,0,0,0,1,0,0,1,1,0,0,0,1,10,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,15,2,1,16,4,0,4,2,5,0,1,10,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,32,0,82,45,27,28,27,32,21,34,25,2,29,15,8,17,19,35,8,17,1,7,44,44,105,225,133,16,363,0,0.885779183,-0.874112735,7.565429688,0.183716075,-0.628608659,0.262364265,-1.523090073,-0.012292667,1.560919412,0.344580062,0.344580062
N_bacillisporus,2,1,21,15,0,0,8,5,3,0,31,4,3,3,24,26,15,60,4,0,0,0,0,3,1,0,0,0,1,2,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,4,1,2,0,6,0,0,0,0,1,0,0,21,5,0,22,17,0,1,3,4,0,8,9,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,25,0,90,26,42,28,9,18,88,13,14,1,35,21,10,27,31,44,10,21,2,11,56,45,130,261,127,23,327,-11,0.862198229,-0.863585952,5.377929688,0.186691312,-0.492476485,-0.757685702,-2.813494034,3.202456159,1.679845318,-0.784149256,-0.784149256
N_bracarensis,1,1,4,12,1,2,2,3,3,0,7,4,4,1,26,28,18,45,2,0,0,0,0,0,2,0,0,0,0,0,2,9,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,0,3,0,0,1,0,0,0,2,13,5,0,17,9,0,5,2,4,0,6,9,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,32,0,75,27,25,22,14,18,46,22,22,1,26,39,11,19,36,39,13,20,3,10,65,58,113,201,150,24,326,-7,0.898554759,-0.954098361,6.108398438,0.25204918,0.393042588,-0.475423697,-5.86750334,1.620797248,-0.912353971,-1.642607447,-1.642607447
