Species,Group,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DEG_SCF_TRCP1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_JIP1_4,DOC_MAPK_MEF2A_6,DOC_MAPK_NFAT4_5,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_CaM_IQ_9,LIG_CtBP_PxDLS_1,LIG_EF_ALG2_ABM_1,LIG_EH_1,LIG_HCF-1_HBM_1,LIG_HOMEOBOX,LIG_KEPE_2,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PAM2_1,LIG_PCNA_PIPBox_1,LIG_PDZ_Class_1,LIG_PDZ_Wminus1_1,LIG_PTAP_UEV_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_Rb_LxCxE_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_anti_2,LIG_SUMO_SIM_par_1,LIG_WRPW_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_NMyristoyl,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_ER_FFAT_1,TRG_LysEnd_APsAcLL_1,TRG_NES_CRM1_1,TRG_NLS_MonoExtN_4,A_homorep,C_homorep,D_homorep,E_homorep,G_homorep,H_homorep,I_homorep,K_homorep,L_homorep,M_homorep,N_homorep,P_homorep,Q_homorep,R_homorep,S_homorep,T_homorep,V_homorep,Y_homorep,FG_rich,PY,FRG,SGFYSG,PG_rich,ELASTIN_LIKE,FGxF,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
S_cerevisiae,2,0,0,4,0,0,0,0,3,0,0,4,4,0,7,11,13,22,1,0,0,0,0,0,1,0,1,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,7,2,0,6,2,0,1,1,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,11,0,27,19,15,13,6,2,6,5,8,0,2,3,1,6,13,10,0,13,0,3,5,21,42,61,45,4,113,16,0.791485611,-0.486842105,10.94238281,0.171052632,0.287682073,-0.441832752,4.953958109,1.626309648,-0.087198581,-0.755353801,-0.755353801
C_albicans,1,6,2,5,3,0,2,3,2,3,14,6,7,4,14,11,19,31,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,8,2,0,7,3,0,2,1,2,1,5,7,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,14,0,38,33,21,21,9,28,20,23,8,0,14,13,9,6,26,18,4,16,0,6,27,34,65,139,94,15,234,7,0.874643309,-0.991693291,9.362304688,0.194888179,-0.068992871,-1.098612289,-0.22735214,0.963365389,0.486616731,0.459297037,0.459297037
C_glabrata,1,1,2,13,1,0,1,1,2,0,7,4,2,1,26,22,9,42,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,1,2,7,4,0,12,8,0,2,2,4,0,5,9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21,0,66,22,20,16,8,13,36,15,14,0,18,16,6,13,21,20,5,11,2,7,34,35,65,158,91,15,229,1,0.861732246,-1.045896657,8.034179688,0.209726444,-0.111225635,-0.382992252,-1.943306521,2.816613447,0.007354821,0.558728931,0.558728931
C_subhashii,2,8,2,11,1,2,2,0,2,3,18,5,8,3,27,23,14,53,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,10,1,0,14,3,0,2,2,3,1,4,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,20,0,53,28,30,26,8,27,15,19,13,0,10,11,6,8,12,19,6,8,0,7,21,25,67,152,74,13,237,4,0.856640297,-0.848039216,9.272460938,0.150326797,0.087011377,0.074107972,-1.199357867,1.997931676,0.412631277,-0.375520063,-0.375520063
D_hansenii,2,3,5,10,0,0,1,1,1,3,14,1,8,1,20,19,12,43,0,0,0,0,0,0,0,0,0,0,0,0,1,11,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,8,4,0,9,5,0,3,2,5,0,3,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,20,0,50,32,20,18,11,17,23,14,12,0,9,13,5,4,15,12,9,18,0,8,22,27,61,135,81,13,211,5,0.863817875,-0.976551724,9.323242188,0.168965517,0.336472237,-0.207639365,-0.426276243,0.638263157,-0.913015029,-0.456247531,-0.456247531
K_lactis,2,8,4,17,2,1,1,2,2,0,20,7,5,4,33,32,13,65,1,0,0,0,0,0,0,0,0,0,0,0,3,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,16,3,0,22,10,0,4,3,6,0,4,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,23,0,80,33,39,20,21,27,40,23,18,0,8,13,8,10,21,15,12,14,0,5,21,39,71,230,93,13,303,18,0.856619089,-1.12014742,10.25292969,0.147420147,0.441832752,-0.146603474,2.050198195,2.545350425,1.028200112,0.040638035,0.040638035
L_kluyveri,2,6,2,12,0,2,1,2,2,2,17,4,10,0,15,20,14,45,0,0,1,0,0,0,0,0,0,0,0,0,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,8,3,0,12,5,0,1,3,4,0,2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,20,0,50,29,26,18,10,24,26,6,16,0,8,9,6,8,14,13,9,10,1,4,17,30,58,142,76,11,210,13,0.855815016,-1.088850174,10.27050781,0.163763066,0.105360516,0.125163143,1.567309042,0.641118301,0.090391608,-0.751625241,-0.751625241
L_waltii,2,1,1,16,3,0,1,1,1,3,3,9,10,5,40,27,17,53,2,0,0,0,1,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,1,1,13,3,0,3,2,4,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,22,0,67,38,22,20,18,12,17,26,17,1,12,6,5,12,12,16,4,12,1,5,18,29,64,163,85,11,250,11,0.848338175,-0.82879257,10.04199219,0.145510836,-0.619039208,0.3254224,1.015696452,0.807467364,1.699937679,0.206295144,0.206295144
N_bacillisporus,2,1,15,14,0,0,4,2,2,0,24,3,2,1,22,23,8,51,4,0,0,0,0,1,1,0,0,0,1,1,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,4,0,0,0,0,1,0,0,18,3,0,19,12,0,1,3,4,0,5,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,17,0,70,20,33,18,5,11,63,10,10,0,16,9,7,17,19,25,7,14,1,7,25,29,81,192,74,15,221,4,0.831586979,-0.859392265,9.118164063,0.149171271,-0.530628251,-0.597837001,-0.840561326,2.718747241,1.144017348,-0.565636972,-0.565636972
N_bracarensis,1,1,3,11,0,0,1,1,2,0,6,2,3,0,23,26,13,40,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2,10,3,0,14,7,0,4,2,4,0,5,8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,22,0,64,22,21,13,5,11,32,14,16,0,12,19,7,12,25,23,5,10,2,6,31,41,63,147,94,15,222,10,0.855973356,-1.018495298,9.608398438,0.225705329,0.430782916,-0.424883194,0.210612582,0.859806962,-0.703965781,-0.761884602,-0.761884602
N_delphensis,1,2,1,10,0,0,4,1,2,0,7,3,2,0,20,26,9,34,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,3,0,12,6,0,4,2,2,0,6,6,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,20,0,59,16,24,14,4,17,22,14,16,0,20,12,10,6,25,24,6,11,2,4,32,41,61,140,89,16,221,9,0.859884935,-0.993464052,9.577148438,0.238562092,-0.47957308,-0.424883194,0.148759238,0.345170529,-0.563155694,1.315180741,1.315180741
N_nivariensis,1,4,1,13,0,0,2,1,3,2,8,3,7,2,26,30,9,46,1,0,0,0,0,0,1,0,0,0,0,0,2,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,2,11,3,0,15,8,0,2,2,5,0,4,8,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,21,0,67,23,22,9,6,15,23,14,16,0,17,14,8,9,23,20,9,13,2,5,31,39,60,147,93,15,226,8,0.859859538,-1.000952381,9.518554688,0.222222222,-0.182321557,-0.344840486,0.089848472,0.406536048,-1.048066692,0.472017264,0.472017264
