 min,protein code,molecular feature z score neg,,max,protein code,molecular feature z score pos,File number
min,YAL001C_idr_2,-5.738806673,,max,YAL001C_idr_2,2.669548567,2-103
min,YAL001C_idr_3,-5.588814044,,max,YAL001C_idr_3,2.777050073,
min,YAL001C_idr_5,-6.107747908,,max,YAL001C_idr_5,3.09975735,
min,YAL002W_idr_1,-7.201422767,,max,YAL002W_idr_1,2.842257484,
min,YAL009W_idr_1,-4.11782232,,max,YAL009W_idr_1,4.460096075,
min,YAL010C_idr_2,-5.964595179,,max,YAL010C_idr_2,2.55865298,
min,YAL011W_idr_1,-2.592106034,,max,YAL011W_idr_1,2.164533115,
min,YAL011W_idr_3,-7.017623862,,max,YAL011W_idr_3,4.531616563,
min,YAL011W_idr_4,-4.082851609,,max,YAL011W_idr_4,2.993933601,
min,YAL013W_idr_1,-2.74006792,,max,YAL013W_idr_1,8.445093712,
min,YAL014C_idr_2,-1.779137366,,max,YAL014C_idr_2,2.744208797,
min,YAL015C_idr_1,-3.023051908,,max,YAL015C_idr_1,4.039818423,
min,YAL017W_idr_1,-2.58488115,,max,YAL017W_idr_1,3.903693177,
min,YAL017W_idr_11,-2.580753271,,max,YAL017W_idr_11,6.611799694,
min,YAL017W_idr_7,-2.815551744,,max,YAL017W_idr_7,2.018601913,
min,YAL017W_idr_9,-5.77913194,,max,YAL017W_idr_9,4.727993203,
min,YAL019W_idr_1,-7.890259677,,max,YAL019W_idr_1,2.127277183,
min,YAL019W_idr_4,-7.796899707,,max,YAL019W_idr_4,2.657474392,
min,YAL019W_idr_5,-4.652684705,,max,YAL019W_idr_5,3.89504455,
min,YAL019W_idr_8,-3.869316578,,max,YAL019W_idr_8,4.450686092,
min,YAL021C_idr_1,-6.900213869,,max,YAL021C_idr_1,8.957738239,
min,YAL021C_idr_5,-6.060525644,,max,YAL021C_idr_5,7.278473917,
min,YAL022C_idr_1,-7.844705407,,max,YAL022C_idr_1,4.446934577,
min,YAL023C_idr_1,-4.983957378,,max,YAL023C_idr_1,3.383426549,
min,YAL024C_idr_3,-11.03359235,,max,YAL024C_idr_3,1.828656162,
min,YAL024C_idr_5,-2.144447081,,max,YAL024C_idr_5,2.945504115,
min,YAL024C_idr_8,-9.973762614,,max,YAL024C_idr_8,4.01188,
min,YAL024C_idr_9,-4.142065465,,max,YAL024C_idr_9,3.077388075,
min,YAL025C_idr_3,-4.742750175,,max,YAL025C_idr_3,3.794446122,
min,YAL026C_idr_1,-9.109676615,,max,YAL026C_idr_1,7.063985232,
min,YAL026C_idr_5,-5.982663829,,max,YAL026C_idr_5,2.366971624,
min,YAL028W_idr_5,-3.689082856,,max,YAL028W_idr_5,7.695785108,
min,YAL029C_idr_9,-2.869978019,,max,YAL029C_idr_9,4.061372718,
min,YAL031C_idr_2,-4.574015623,,max,YAL031C_idr_2,4.504549604,
min,YAL031C_idr_3,-11.33071596,,max,YAL031C_idr_3,4.045677899,
min,YAL032C_idr_2,-3.658591449,,max,YAL032C_idr_2,1.710050644,
min,YAL032C_idr_6,-4.687310127,,max,YAL032C_idr_6,1.435385975,
min,YAL032C_idr_8,-9.956533424,,max,YAL032C_idr_8,5.323317475,
min,YAL034C_idr_2,-4.333251048,,max,YAL034C_idr_2,3.910669671,
min,YAL034C_idr_4,-4.459602861,,max,YAL034C_idr_4,3.916268614,
min,YAL035W_idr_1,-11.55790358,,max,YAL035W_idr_1,2.232938098,
min,YAL035W_idr_4,-14.07818451,,max,YAL035W_idr_4,3.37050224,
min,YAL039C_idr_1,-3.895377865,,max,YAL039C_idr_1,3.352786077,
min,YAL040C_idr_1,-4.148838629,,max,YAL040C_idr_1,6.514125576,
min,YAL040C_idr_3,-3.078849879,,max,YAL040C_idr_3,3.968679573,
min,YAL041W_idr_1,-2.921396432,,max,YAL041W_idr_1,1.804375121,
min,YAL041W_idr_13,-8.651982825,,max,YAL041W_idr_13,2.440109391,
min,YAL041W_idr_7,-2.245242702,,max,YAL041W_idr_7,4.578806078,
min,YAL043C_idr_2,-2.741442568,,max,YAL043C_idr_2,4.887599638,
min,YAL043C_idr_7,-4.794910856,,max,YAL043C_idr_7,5.356726083,
min,YAL044C_idr_1,-7.812305575,,max,YAL044C_idr_1,4.277178612,
min,YAL046C_idr_1,-8.010357042,,max,YAL046C_idr_1,2.472602961,
min,YAL047C_idr_3,-10.96837236,,max,YAL047C_idr_3,4.311778414,
min,YAL047C_idr_6,-6.068401076,,max,YAL047C_idr_6,2.385854376,
min,YAL048C_idr_4,-3.871781832,,max,YAL048C_idr_4,1.982625635,
min,YAL051W_idr_1,-3.484111546,,max,YAL051W_idr_1,4.99298779,
min,YAL051W_idr_10,-2.623318018,,max,YAL051W_idr_10,1.896956779,
