Species,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DOC_ANK_TNKS_1,DOC_MAPK_gen_1,DOC_MAPK_MEF2A_6,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PDZ_Class_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SUMO_SIM_par_1,MOD_CDK_SPK_2,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,N_homorep,Q_homorep,S_homorep,T_homorep,PY,FRG,SGFYSG,PG_rich,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
S. cerevisiae,-0.810710487,-0.613169843,-1.382861351,-0.514513664,-0.218217892,-0.927426034,-0.577350269,0,-0.398409537,-1.058022517,-0.30036635,-0.24024999,-0.585998034,-1.352742158,-1.205821685,-0.457023579,-1.294624486,0.791559483,-0.218217892,-0.218217892,-0.218217892,-0.218217892,-0.234122387,-0.732114159,-1.081124955,-0.218217892,-0.218217892,-0.316623792,-0.577350269,-0.545544725,1.023532631,0.364541309,-0.218217892,-0.577350269,-0.316623792,0.228004078,1.244033378,-0.218217892,-0.398409537,-0.240099356,-0.080766065,-1.157574124,-0.911353271,-0.286534127,-1.291889418,-1.328031789,-0.218217892,-0.925272762,-0.732114159,-0.218217892,-0.316623792,-0.690065558,-0.218217892,-0.47338107,-0.298807152,-0.218217892,0.316623792,0.870715432,-0.398409537,1.244033378,-1.222835681,-0.218217892,-1.264295823,-0.419035466,-0.172660332,-0.399696214,-0.803219329,-1.037957966,-0.933593618,-0.79540382,-1.054092553,-0.218217892,-1.031575481,-0.934580272,-1.296067138,-0.447349928,-0.819782295,-0.857742351,-1.10190069,-0.585459017,-0.643836565,-0.72547625,-1.196343261,-1.124144492,-0.971190993,-1.354986583,-1.025013356,-1.534046508,-1.222839277,0.043412658,-1.425435004,1.293791468,0.38929243,-0.161922076,-0.252322336,-0.747042959,0.475158075,0.471749842,0.086503203,-0.591850276,-0.582383767
C. albicans,1.768822881,0.50653161,0.10637395,1.147761251,-0.218217892,0.21821789,1.154700539,0,-0.398409537,1.314824099,0.670048013,0.600624975,0.952246805,0.243189601,0.172260241,0.609364772,-0.207139917,-0.870715432,4.364357808,-0.218217892,-0.218217892,-0.218217892,-1.463264919,-0.033277917,0.180187493,-0.218217892,-0.218217892,3.007926036,-0.577350269,-0.545544725,-0.93048421,-0.91135327,-0.218217892,-0.577350269,-0.316623792,-0.729613051,-0.765559002,-0.218217892,-0.398409537,-0.240099356,-1.776853425,-0.210468023,-0.273405981,-0.286534127,0.135988359,0.531212715,-0.218217892,0.569398623,-0.033277917,-0.218217892,-0.316623792,1.380131118,-0.218217892,2.01186954,-0.298807152,-0.218217892,-1.345651122,-0.791559483,2.390457217,-0.765559002,0,-0.218217892,0.122655565,0.395755718,-1.1395582,0.109008059,1.606438658,1.70813555,0.200606894,0.362263126,0,-0.218217892,1.051413471,0.667557338,0.162008392,-0.941789322,0.655825836,0.304360189,-1.10190069,1.584183223,-0.643836565,0,1.042358484,0.32118414,0.037353499,0.584149772,0.676589843,-0.069729387,0.644213302,-0.868253161,0.787974526,-1.570080539,-0.433530209,0.527171374,0.009379076,-0.226319315,-0.28489685,-1.403541238,1.099166007,1.44595408,1.279886582
C. glabrata,-0.294803813,-0.613169843,0.850991601,-0.514513664,-0.218217892,0.21821789,-0.577350269,1.58113883,-0.398409537,-0.62659586,-0.30036635,-0.24024999,-0.585998034,0.402782777,0.861301203,-1.167949147,0.569634775,-0.870715432,-0.218217892,-0.218217892,-0.218217892,-0.218217892,-0.234122387,-0.732114159,0.180187493,-0.218217892,-0.218217892,-0.316623792,1.154700539,1.74574312,-0.93048421,1.640435887,-0.218217892,1.154700539,-0.316623792,-0.729613051,-0.765559002,-0.218217892,-0.398409537,0.535606257,1.615321294,0.736638079,1.640435887,-0.286534127,0.135988359,1.460834967,-0.218217892,2.064070008,-0.732114159,-0.218217892,-0.316623792,1.380131118,-0.218217892,-0.47338107,-0.298807152,-0.218217892,0.316623792,-0.791559483,-0.398409537,-0.765559002,0.917126761,-0.218217892,1.113335128,-0.74495194,-0.414384799,-0.908400487,0.401609664,-0.179803742,1.010750116,-0.133879851,1.054092553,-0.218217892,-0.1983799,1.06809174,0.648033569,0.54152886,0.163956459,0.304360189,-0.389903321,-0.585459017,1.814448501,0,0.544869208,0.80296035,-0.522948996,0.62630491,0.081028724,1.028508455,0.185102012,0.347301264,0.305150245,-1.348662512,0.254809589,0.901273802,1.396183759,0.959212308,-0.376997468,-0.173818897,-1.368618434,0.693838619,0.592557438
C. subhashii,0.22110286,-0.053319117,0.478682775,0.316623793,-0.218217892,-0.927426034,-0.577350269,0,0.99602384,0.451970784,0.184840831,1.44149994,0.183124385,0.562375953,0.344520481,0.964827556,0.414279836,-0.870715432,-0.218217892,-0.218217892,-0.218217892,-0.218217892,-1.463264919,-0.033277917,-1.081124955,-0.218217892,-0.218217892,-0.316623792,1.154700539,1.74574312,1.023532631,-0.91135327,-0.218217892,1.154700539,-0.316623792,-0.729613051,-0.765559002,-0.218217892,2.390457217,-0.627952163,-1.776853425,0.420936045,-1.54930056,0.916909208,0.135988359,-0.398409537,-0.218217892,0.569398623,-0.033277917,-0.218217892,-0.316623792,1.380131118,-0.218217892,-0.47338107,-0.298807152,-0.218217892,-1.345651122,-0.791559483,-0.398409537,-0.765559002,0.30570892,-0.218217892,-0.27361626,-0.093118992,0.552513068,0.617712331,1.204828993,1.021612171,-0.933593618,-0.133879851,0,-0.218217892,-0.61497769,-0.53404587,0.162008392,-0.447349928,-2.295390425,-0.276691081,-1.10190069,-0.585459017,-0.643836565,0.72547625,-0.698853984,-1.124144492,-0.410888497,0.078288114,-0.684692716,0.296349894,0.062672335,-0.564364554,0.043191959,-0.239338939,0.076088975,-1.915135633,0.009379076,2.124780834,0.305351875,-2.084525147,0.714140891,0.340934974,0.270052488
D. hansenii,0.22110286,-0.053319117,-1.382861351,-0.514513664,-0.218217892,0.21821789,-0.577350269,0,0.99602384,0.236257455,-0.785573532,1.44149994,-0.585998034,-1.193148982,-0.689040963,-0.101560795,-1.139269548,-0.870715432,-0.218217892,-0.218217892,-0.218217892,-0.218217892,-0.234122387,-0.033277917,0.180187493,-0.218217892,-0.218217892,3.007926036,-0.577350269,-0.545544725,1.023532631,-0.91135327,-0.218217892,-0.577350269,-0.316623792,-0.729613051,-0.765559002,4.364357808,-0.398409537,-1.015804969,1.615321294,-1.157574124,-1.54930056,-0.286534127,1.563866137,0.531212715,-0.218217892,0.569398623,-0.033277917,-0.218217892,-0.316623792,-0.690065558,-0.218217892,-0.47338107,-0.298807152,-0.218217892,0.316623792,-0.791559483,-0.398409537,-0.765559002,0.61141784,-0.218217892,-1.06615991,0.395755718,-0.897833733,0.109008059,1.606438658,0.678350482,-0.123450396,-0.960784813,-0.351364184,-0.218217892,0.21821789,0.267022935,-0.324016785,-1.93066811,-0.819782295,-1.438793621,-0.033904637,1.222576183,-0.643836565,2.176428751,0.296124569,-0.642368282,-0.298827998,-0.554038958,0.081028724,0.662429174,-0.335224116,-1.172141767,0.719072738,-1.466768798,-0.730808067,0.215762863,0.243478969,0.29333543,-0.309979876,-1.757848632,-2.042501861,-0.318099374,-0.332213438
K. lactis,2.284729555,-0.613169843,0.850991601,-0.514513664,-0.218217892,0.21821789,-0.577350269,0,-0.398409537,1.314824099,-0.785573532,-0.24024999,0.183124385,0.562375953,1.033561444,-1.167949147,1.657119343,0.791559483,-0.218217892,-0.218217892,-0.218217892,-0.218217892,2.224162679,1.364394567,1.441499941,-0.218217892,-0.218217892,-0.316623792,2.886751347,-0.545544725,1.023532631,-0.91135327,-0.218217892,-0.577350269,-0.316623792,-0.729613051,-0.765559002,-0.218217892,-0.398409537,1.311311869,-0.080766065,1.368042146,0.364541308,0.916909208,0.135988359,0.531212715,-0.218217892,0.569398623,1.364394567,-0.218217892,-0.316623792,-0.690065558,-0.218217892,2.01186954,-0.298807152,-0.218217892,0.316623792,-0.791559483,2.390457217,-0.765559002,0,-0.218217892,0.816131259,1.373505139,1.519410936,-1.162752623,2.409657986,1.536504705,0.038578249,0.362263126,0.702728369,-0.218217892,0.634815681,0.667557338,1.620083922,0.54152886,0.163956459,-0.276691081,2.10208747,0.860969143,-0.643836565,-1.4509525,0.793613846,0.562072245,0.485595496,1.342942258,1.187070803,0.296349894,1.256361689,-0.260475948,1.072941295,-0.895741162,0.099092619,-0.557725703,0.30607167,0.688868937,-2.053544781,0.213786768,-0.258585983,-1.496022371,-1.40867157
L. kluyveri,2.284729555,-0.053319117,0.850991601,-0.514513664,-0.218217892,0.21821789,2.886751347,0,-0.398409537,1.746250756,-0.785573532,-0.24024999,-0.585998034,-0.07599675,0.172260241,0.609364772,0.724989713,-0.870715432,-0.218217892,-0.218217892,-0.218217892,-0.218217892,0.995020146,1.364394567,0.180187493,-0.218217892,-0.218217892,-0.316623792,-0.577350269,-0.545544725,-0.93048421,-0.91135327,-0.218217892,-0.577350269,-0.316623792,-0.729613051,-0.765559002,-0.218217892,-0.398409537,-0.240099356,-0.080766065,0.420936045,1.002488597,-1.489977463,1.563866137,-0.398409537,-0.218217892,0.569398623,1.364394567,-0.218217892,-0.316623792,-0.690065558,-0.218217892,2.01186954,-0.298807152,-0.218217892,0.316623792,-0.791559483,2.390457217,-0.765559002,-0.61141784,-0.218217892,0.320791478,0.395755718,0.310788601,0.617712331,0.401609664,2.051397239,0.200606894,-0.630022828,-0.351364184,-0.218217892,0.21821789,-0.934580272,1.134058745,-0.447349928,1.147695212,-0.857742351,0.678092732,-0.223851977,0.585305968,-0.72547625,-0.450109346,0.32118414,0.149413998,0.62630491,0.166108884,0.662429174,0.552391044,0.955078477,0.440473731,-1.180403625,0.45653385,-0.940897312,-1.79242186,-0.866408148,1.197824064,-0.117477491,-0.406801767,-0.905373118,-0.86890013
L. waltii,-0.294803813,-0.613169843,1.223300426,0.316623793,-0.218217892,0.21821789,1.154700539,0,-0.398409537,-0.62659586,1.155255194,1.44149994,0.952246805,1.519935009,1.378081925,0.964827556,1.03569959,-0.870715432,-0.218217892,4.364357808,-0.218217892,-0.218217892,-0.234122387,0.665558325,0.180187493,4.364357808,-0.218217892,-0.316623792,-0.577350269,-0.545544725,-0.93048421,-0.91135327,-0.218217892,-0.577350269,-0.316623792,-0.729613051,-0.765559002,-0.218217892,2.390457217,0.923459063,-1.776853425,0.420936045,-0.273405981,-0.286534127,1.563866137,1.460834967,-0.218217892,-0.925272762,0.665558325,-0.218217892,-0.316623792,-0.690065558,-0.218217892,-0.47338107,3.884492978,-0.218217892,-1.345651122,2.532990346,-0.398409537,1.244033378,0.917126761,-0.218217892,0.915199215,1.047588666,-0.656109266,0.617712331,0,-0.008172897,-0.609536329,0.693025111,1.054092553,-0.218217892,-0.1983799,-0.133511467,0.162008392,-0.447349928,0.163956459,-0.276691081,-0.033904637,-0.223851977,0.585305968,0,-0.201364707,0.80296035,0.037353499,0.289063805,0.761670003,0.296349894,0.674820722,1.258967083,0.28477917,-0.377936346,0.71665198,-0.038111466,0.152776828,0.959212308,1.754266327,-0.672286918,1.340967251,0.761189593,0.654106881
N. bacillisporus,-0.294803813,3.865635967,1.595609251,-0.514513664,-0.218217892,0.21821789,1.154700539,0,-0.398409537,2.393390743,-0.30036635,-1.081124955,-0.585998034,0.721969129,1.378081925,-0.457023579,1.96782922,0.791559483,-0.218217892,-0.218217892,-0.218217892,-0.218217892,0.995020146,0.665558325,1.441499941,-0.218217892,-0.218217892,-0.316623792,1.154700539,1.74574312,1.023532631,2.916330466,4.364357808,2.886751347,-0.316623792,3.100855468,-0.765559002,-0.218217892,-0.398409537,2.862723095,-0.080766065,1.999446213,1.640435887,-1.489977463,1.563866137,0.531212715,-0.218217892,0.569398623,0.665558325,-0.218217892,3.007926036,-0.690065558,4.364357808,-0.47338107,-0.298807152,-0.218217892,1.978898707,-0.791559483,-0.398409537,-0.765559002,0.61141784,-0.218217892,1.410538997,-0.581993703,2.486308803,0.363360195,-0.401609664,-0.694696276,3.60320843,-0.133879851,0,-0.218217892,0.21821789,-0.53404587,-0.810041961,1.530407648,1.147695212,0.304360189,0.322094048,0.499362103,-0.643836565,1.4509525,-0.201364707,0.562072245,0.821776993,1.722338502,-0.174211756,-0.069729387,0.552391044,0.955078477,-0.719328084,-0.776087818,0.242423017,-1.284223401,-0.891521392,-0.470874641,0.983023307,-0.224960733,1.786662704,-1.241237053,-1.175833152
N. bracarensis,-0.294803813,-0.613169843,0.850991601,-0.514513664,-0.218217892,-0.927426034,-0.577350269,1.58113883,-0.398409537,-0.62659586,-0.30036635,-0.24024999,-0.585998034,0.721969129,1.033561444,-0.101560795,-0.051784979,-0.870715432,-0.218217892,-0.218217892,-0.218217892,-0.218217892,-0.234122387,-0.732114159,-1.081124955,-0.218217892,-0.218217892,-0.316623792,1.154700539,1.74574312,-0.93048421,0.364541309,-0.218217892,-0.577350269,-0.316623792,-0.729613051,-0.765559002,-0.218217892,-0.398409537,0.14775345,-0.080766065,0.105234011,1.002488597,2.120352543,0.135988359,0.531212715,-0.218217892,2.064070008,-0.732114159,-0.218217892,-0.316623792,1.380131118,-0.218217892,-0.47338107,-0.298807152,-0.218217892,0.316623792,-0.791559483,-0.398409537,-0.765559002,0.61141784,-0.218217892,0.51892739,-0.419035466,-0.897833733,-0.399696214,-0.401609664,-0.008172897,-0.28547904,0.196882134,1.054092553,-0.218217892,-0.61497769,1.06809174,0.162008392,0.54152886,0.655825836,0.885411459,-0.033904637,-0.223851977,1.814448501,-0.72547625,0.296124569,1.043848456,0.037353499,-0.006022162,0.251189044,0.296349894,0.093279754,0.955078477,0.741863371,-0.254448063,0.545009403,1.429896839,1.891985063,0.688868937,0.378161474,0.987262271,-0.212099923,0.562875677,0.472875486
