Species,Group,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DEG_SCF_TRCP1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_JIP1_4,DOC_MAPK_MEF2A_6,DOC_MAPK_NFAT4_5,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_CaM_IQ_9,LIG_CtBP_PxDLS_1,LIG_EF_ALG2_ABM_1,LIG_EH_1,LIG_HCF-1_HBM_1,LIG_HOMEOBOX,LIG_KEPE_2,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PAM2_1,LIG_PCNA_PIPBox_1,LIG_PDZ_Class_1,LIG_PDZ_Wminus1_1,LIG_PTAP_UEV_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_Rb_LxCxE_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_anti_2,LIG_SUMO_SIM_par_1,LIG_WRPW_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_NMyristoyl,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_ER_FFAT_1,TRG_LysEnd_APsAcLL_1,TRG_NES_CRM1_1,TRG_NLS_MonoExtN_4,A_homorep,C_homorep,D_homorep,E_homorep,G_homorep,H_homorep,I_homorep,K_homorep,L_homorep,M_homorep,N_homorep,P_homorep,Q_homorep,R_homorep,S_homorep,T_homorep,V_homorep,Y_homorep,FG_rich,PY,FRG,SGFYSG,PG_rich,ELASTIN_LIKE,FGxF,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
S_cerevisiae,2,0,0,4,0,0,0,0,3,0,0,4,4,0,7,11,13,23,1,0,0,0,0,0,1,0,1,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,7,2,0,6,2,0,1,1,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,11,0,28,20,15,13,6,2,6,5,8,0,4,3,1,6,13,10,3,13,1,3,7,21,45,62,48,5,117,14,0.814122722,-0.49125,10.58691406,0.175,-0.223143551,-0.441832752,3.095842836,1.625697463,-0.360002011,-0.927462319,-0.927462319
C_albicans,1,1,4,9,3,0,2,3,2,2,8,6,6,4,21,19,21,40,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,1,10,3,0,11,4,0,2,2,3,1,5,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,17,0,54,32,24,22,9,16,27,26,10,0,13,15,8,6,30,15,5,16,0,7,28,40,64,156,100,15,251,12,0.865760313,-1.036716418,9.624023438,0.202985075,0.133531393,-1.036091932,0.676410943,1.326492996,0.262822195,0.594711263,0.594711263
C_glabrata,1,1,2,13,1,0,1,1,2,0,7,4,2,1,26,24,9,44,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,1,2,8,4,0,14,9,0,2,2,4,1,5,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23,0,72,23,22,17,12,14,38,17,16,0,21,16,8,14,21,22,5,12,2,7,37,37,70,175,97,17,251,0,0.866968261,-1.035654596,7.374023438,0.206128134,-0.257829109,-0.257829109,-1.99293049,2.613310618,0.271129764,0.789700212,0.789700212
C_subhashii,2,8,2,12,2,2,3,1,2,7,18,6,13,6,29,24,23,63,1,0,0,0,0,0,0,0,0,0,0,0,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,11,1,0,14,3,0,3,2,3,1,4,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,22,0,60,39,34,30,13,28,17,23,13,0,14,15,10,12,14,21,6,8,0,9,29,27,77,175,95,19,283,-2,0.869078136,-0.841530055,6.709960938,0.153005465,0.064538521,-0.068992871,-1.561392161,2.132991788,-0.458055166,-0.241446269,-0.241446269
D_hansenii,2,3,4,9,0,0,1,1,1,3,12,1,8,1,19,19,13,42,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,7,5,0,10,4,0,3,1,4,0,3,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,21,0,48,32,21,16,10,17,19,14,13,0,9,14,5,4,15,10,8,17,0,8,23,28,55,129,83,13,209,5,0.862923437,-1.037142857,9.323242188,0.182142857,0.405465108,-0.133531393,-0.395954335,0.202780457,-0.781883931,-0.509543567,-0.509543567
K_lactis,2,6,4,16,2,2,4,2,2,0,15,7,4,4,32,32,13,62,2,0,0,0,0,0,0,0,0,0,0,0,3,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,15,4,0,20,9,0,3,3,6,0,4,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,24,0,73,28,38,21,11,21,40,20,19,0,16,17,7,10,21,15,8,9,0,5,33,40,63,203,101,12,285,7,0.855701726,-1.222955145,9.473632813,0.192612137,0.057158414,-0.09531018,-2.037861619,3.431700804,0.351858658,0.175963822,0.175963822
L_kluyveri,2,0,2,12,0,1,1,2,2,2,6,4,9,0,15,20,13,43,0,0,1,0,0,0,0,0,0,0,0,0,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,8,3,0,10,5,0,1,3,4,0,2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,18,0,49,25,26,17,7,10,26,6,15,0,7,8,5,8,14,11,6,8,1,3,15,29,50,124,69,9,184,14,0.837438925,-1.032539683,10.45410156,0.174603175,0.117783036,0.064538521,2.681956534,0.653901779,-0.319412553,-0.444400657,-0.444400657
L_waltii,2,1,1,16,3,0,1,1,1,3,2,9,9,5,39,27,14,51,2,0,0,0,1,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,1,1,11,3,0,2,2,4,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,21,0,61,34,21,15,15,8,17,23,16,1,14,5,4,11,12,16,2,8,1,5,19,28,52,146,81,10,224,9,0.838631995,-0.923529412,9.846679688,0.162629758,-0.916290732,0.268263987,0.127969972,1.16221028,1.588284828,0.33136649,0.33136649
N_bacillisporus,2,2,18,26,0,0,6,3,4,0,30,5,5,1,46,50,21,92,4,0,0,0,0,1,1,0,0,0,1,1,5,17,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,4,1,2,0,5,0,0,1,0,1,0,2,29,6,0,34,20,0,5,5,8,0,10,17,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,40,0,137,44,54,32,14,22,99,26,27,1,31,29,13,30,45,50,13,26,3,13,60,72,151,353,176,29,461,12,0.869326614,-0.941748942,9.333007813,0.186177715,-0.064538521,-0.496436886,0.255275899,3.283255163,0.844683185,-0.523566999,-0.523566999
N_bracarensis,1,2,1,10,0,0,4,1,2,0,7,3,2,0,20,26,9,35,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,4,0,14,7,0,4,2,2,0,6,7,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,20,0,62,17,24,15,7,17,24,15,16,0,22,13,10,7,25,26,6,14,2,4,35,41,68,149,93,16,233,6,0.866611079,-0.947852761,9.317382813,0.233128834,-0.496436886,-0.424883194,-0.871830053,0.69018695,-0.174369335,1.4670401,1.4670401
