Species,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_JIP1_4,DOC_MAPK_MEF2A_6,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_CtBP_PxDLS_1,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PCNA_PIPBox_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_par_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_LysEnd_APsAcLL_1,TRG_NES_CRM1_1,TRG_NLS_MonoExtN_4,D_homorep,N_homorep,P_homorep,Q_homorep,S_homorep,T_homorep,PY,FRG,SGFYSG,PG_rich,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
S. cerevisiae,-0.506952581,-0.915257524,-1.408373702,-0.847724793,-1.017630019,-0.168073161,-1.336396559,1.415676795,-0.70065542,-0.87346488,-0.101744616,-0.676570871,-0.869003002,-1.319521848,-1.128296315,0.127177732,-1.147748558,-0.958789238,-0.473381068,-0.21821789,-0.21821789,-0.514791562,0.554221104,-0.21821789,1.42480707,-0.316623793,-0.569398623,-0.991515466,-0.642368281,-0.753144668,-0.21821789,-0.21821789,0.316623793,-0.21821789,-0.700655419,-0.545544726,0.372193684,-0.252312957,-0.545544726,-0.698782522,-0.443896762,-0.433225339,-0.316623793,0.0517226,0.93048421,-0.473381068,-0.473381068,-0.746887592,-0.137683068,-0.21821789,-1.315547692,-0.746765832,-0.559016994,-0.485528433,-0.940820506,-0.473381068,-1.382861351,-0.632472259,-0.765559002,-0.514791562,0.059172634,0.364541309,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-0.234122387,0.21821789,-0.577350269,0.286534128,-1.151079173,-0.21821789,-1.131793479,-0.682001749,-1.090345403,-0.267073646,-0.580454325,-0.919128889,-0.946715882,-0.849021583,-0.701885284,0.152409986,-1.015773998,-0.784220544,-1.134058746,-1.01407275,-0.840874965,-1.195228609,-1.224788854,0.167906493,0.107118949,-1.091089451,-1.123451046,-1.001333682,-0.921006031,-1.141307412,-1.168341523,-1.215992991,-1.073053522,0.670843379,-0.283395506,1.28416253,0.456190878,0.568704136,0.412891121,0.328093036,-1.044843535,0.534039292,-0.757305556,-0.892262655,-0.892262655
C. albicans,1.984665423,0.457628762,0.407687124,1.246654107,1.231867917,-0.672292645,1.274238579,0.064348946,1.261179755,1.468164374,1.119190776,0.615064429,1.356492491,0.609652499,0.536703112,1.963306246,1.364197418,-0.958789238,2.01186954,-0.21821789,-0.21821789,-0.514791562,-1.236339386,-0.21821789,-0.791559484,-0.316623793,0.925272763,-0.991515466,1.525624667,-0.167365482,-0.21821789,-0.21821789,0.316623793,-0.21821789,0.770720961,-0.545544726,0.372193684,0.807401463,-0.545544726,0.635256839,-0.443896762,-1.260291894,-0.316623793,3.310246427,0.93048421,2.01186954,-0.473381068,0.757118928,-0.137683068,-0.21821789,1.093740233,-0.165947963,2.236067977,0.534081277,-0.940820506,2.01186954,0.850991601,1.540932412,0.574169252,-1.190455486,0.059172634,0.364541309,-0.21821789,3.007926037,-0.316623793,-0.21821789,-0.21821789,0.836536288,-0.441769206,-0.21821789,0.995020146,-1.309307341,2.886751346,1.489977463,-0.039692386,-0.21821789,0.983652971,2.196799603,1.232564368,1.242919656,1.393090381,2.100463259,0.686570158,1.340560394,-0.915502544,0.152409986,0.199996953,0.21821789,1.782092315,0.853955999,1.68174993,1.195228609,-0.134934365,0.829038312,-1.017630019,0.872871561,0.255329783,0.945704032,1.183049585,1.496451675,1.478606493,1.324887886,1.573230232,0.977097964,0.61414784,-0.797395508,1.322128842,-1.469351586,-0.045912369,-1.970782526,-0.840842328,0.713092848,-0.177494143,0.563965456,0.563965456
C. glabrata,-0.733463308,-0.228814381,0.407687124,0.199464657,0.107118949,-0.672292645,0.621579794,0.064348946,-0.70065542,-0.483193338,-0.406978464,-1.322388521,0.021195195,0.34658327,0.280549354,-1.041267686,0.10822443,1.160639603,-0.473381068,-0.21821789,-0.21821789,0.836536288,-1.236339386,-0.21821789,-0.791559484,-0.316623793,-0.569398623,1.611212631,0.32118414,-0.167365482,-0.21821789,-0.21821789,-0.514513664,-0.21821789,0.770720961,1.745743122,-1.581823158,0.807401463,1.745743122,0.635256839,-0.443896762,0.393841217,-0.316623793,-1.034452008,-1.023532631,2.01186954,0.769244236,-0.532029518,0.440585818,-0.21821789,0.130025063,0.995687776,0,-0.485528433,-0.303490486,2.01186954,0.850991601,0.333485373,-0.765559002,0.160872363,0.059172634,0.364541309,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,0.995020146,0.21821789,-0.577350269,-0.916909208,0.793847704,-0.21821789,0.485900865,-0.32215158,0.237031609,-0.267073646,0.23218173,-0.14942893,0.799210575,0.089370693,0.152583756,0.152409986,1.526292536,0.934245342,0.324016784,0.667153124,0.600624975,0.956182888,0.30100743,0.167906493,1.231867917,1.091089451,1.557511676,0.556296489,0.454722641,0.385111552,0.732031412,0.943755754,0.341690485,-2.238575187,1.16213957,-0.816967188,-1.304853488,0.415249658,-0.513108594,-0.474682364,1.263444712,0.221314823,0.382684646,0.023502581,0.023502581
C. subhashii,2.664197605,0,0.407687124,0.199464657,1.231867917,-0.168073161,-0.03107899,0.064348946,2.732556136,1.663300145,0.50872308,2.229608554,1.356492491,0.609652499,0.408626233,1.29562315,2.022088031,-0.958789238,-0.473381068,-0.21821789,-0.21821789,0.836536288,-0.341059141,-0.21821789,-0.791559484,-0.316623793,-0.569398623,-0.991515466,1.043848456,0.418413704,-0.21821789,-0.21821789,-1.345651122,-0.21821789,0.770720961,1.745743122,0.372193684,-1.312027377,-0.545544726,0.635256839,-0.443896762,-0.433225339,-0.316623793,0.0517226,-1.023532631,2.01186954,0.769244236,0.971977002,-1.29422084,-0.21821789,0.933121038,-0.165947963,0,0.534081277,-0.940820506,2.01186954,0.478682775,1.057953596,1.913897506,-1.190455486,0.059172634,0.364541309,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,2.187864137,-0.441769206,-0.21821789,0.995020146,1.745743122,1.154700538,0.286534128,0.516001008,-0.21821789,0.527380207,1.621039333,2.117482376,1.35077632,0.812636055,1.745217124,-0.214553174,0.480367474,-0.274650764,-1.447894864,-0.905249366,0.21821789,1.539079726,-0.080058375,-0.600624975,0.119522861,0.518978327,-2.035866237,-1.017630019,1.091089451,-0.510659566,-0.611926139,0.252409601,0.934086794,0.32480864,1.324887886,0.982905394,0.058334207,-0.332299677,-0.785348156,-0.183691702,-1.926800946,1.054352858,0.35612598,0.8731169,-0.109345528,-0.269930984,1.066654407,1.066654407
D. hansenii,0.172579602,0.457628762,-0.111187398,0.199464657,-1.017630019,-1.176512129,-0.03107899,-1.286978904,1.261179755,0.687621289,-0.712212312,0.937973254,0.466294294,0.083514041,0.152472475,-0.039743042,0.58669033,-0.958789238,2.01186954,-0.21821789,-0.21821789,-0.514791562,-0.341059141,-0.21821789,-0.791559484,-0.316623793,-0.569398623,0.309848583,1.284736562,0.418413704,-0.21821789,-0.21821789,1.147761251,-0.21821789,0.770720961,-0.545544726,0.372193684,0.807401463,1.745743122,-0.698782522,-0.443896762,0.393841217,-0.316623793,0.0517226,0.93048421,-0.473381068,2.01186954,0.327402779,1.018854704,-0.21821789,-0.030594132,0.705278842,0,0.534081277,0.333839535,-0.473381068,0.478682775,1.299443004,0.574169252,-1.190455486,-1.18345267,0.364541309,-0.21821789,3.007926037,-0.316623793,-0.21821789,-0.21821789,-0.514791562,1.413661459,-0.21821789,0.995020146,0.21821789,-0.577350269,-0.916909208,1.488464446,-0.21821789,0.029628101,0.757398927,0.790105364,0.272209676,-0.116090865,0.265024895,0.348648908,0.402168118,0.152583756,-1.447894864,-1.015773998,0.647834361,-0.162008392,-1.01407275,-0.120124995,-0.717137166,0.518978327,1.049415585,-1.017630019,2.182178902,-0.357461697,-0.027814825,-0.071291263,0.291384072,0.189067716,1.070799798,0.250088355,0.670843379,0.77652853,-0.995440496,0.510881696,-0.898303268,1.469738015,0.142699952,0.963030769,-0.71297636,-0.496649356,0.119639035,0.119639035
K. lactis,0.852111785,0.457628762,1.704873428,0.723059382,1.231867917,2.353024259,0.621579794,1.415676795,-0.70065542,1.175460717,1.119190776,-0.030753221,1.356492491,1.2234807,2.329779417,0.46101928,1.663238606,1.160639603,-0.473381068,-0.21821789,-0.21821789,0.836536288,-1.236339386,-0.21821789,-0.791559484,-0.316623793,0.925272763,1.611212631,1.284736562,2.175751262,-0.21821789,-0.21821789,-0.514513664,-0.21821789,2.242097342,-0.545544726,0.372193684,0.807401463,1.745743122,1.9692962,-0.443896762,1.220907772,-0.316623793,-1.034452008,-1.023532631,-0.473381068,-0.473381068,1.616551225,2.175392476,-0.21821789,1.896836208,1.286096711,1.118033989,0.534081277,1.608499575,-0.473381068,0.478682775,1.299443004,1.913897506,-0.514791562,0.059172634,-0.91135327,-0.21821789,-0.316623793,3.007926037,-0.21821789,-0.21821789,2.187864137,-0.441769206,-0.21821789,-0.234122387,0.21821789,1.154700538,2.693420799,1.627387795,-0.21821789,1.688801787,0.757398927,1.675023372,1.135062991,2.670089896,0.975517165,1.531373283,1.575158463,2.288756356,-1.447894864,2.189440327,1.363861813,0.567029373,0.1067445,0.48049998,0.597614305,1.17289102,1.490170131,-1.017630019,0.21821789,2.246902091,1.432463461,1.142586977,1.898140876,1.851894034,0.308535535,1.837858607,-2.238575187,0.44757501,-2.404193671,-0.754299245,-0.405543032,-0.639344748,0.730681143,0.149558856,1.684972757,0.474032053,0.496215161,0.496215161
L. kluyveri,0.625601057,-0.228814381,0.407687124,-0.847724793,1.231867917,0.336146323,0.621579794,0.064348946,0.280262168,0.590053404,-0.406978464,1.260882079,-1.3141021,-0.53031416,0.024395596,-0.206663816,0.168032667,-0.958789238,-0.473381068,4.364357805,-0.21821789,-0.514791562,-1.236339386,-0.21821789,-0.791559484,-0.316623793,-0.569398623,0.309848583,0.32118414,-0.167365482,-0.21821789,-0.21821789,-1.345651122,-0.21821789,-0.700655419,-0.545544726,-1.581823158,-0.252312957,-0.545544726,-0.698782522,-0.443896762,-0.433225339,3.007926037,0.0517226,0.93048421,-0.473381068,-0.473381068,0.112544705,0.440585818,-0.21821789,0.130025063,0.414869907,-1.118033989,0.534081277,-0.303490486,-0.473381068,0.478682775,0.333485373,0.574169252,-1.190455486,0.059172634,-0.91135327,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,0.836536288,-0.441769206,-0.21821789,-0.234122387,-1.309307341,1.154700538,-0.916909208,0.099230963,-0.21821789,0.071107443,0.109668623,0.34764636,-0.267073646,1.276999516,0.62027103,0.123368075,-0.614423514,0.579818276,0.152409986,-0.131576943,0.36142338,-0.648033569,-0.080058375,-0.48049998,0.597614305,0.083036532,-0.493225326,0.107118949,-0.43643578,0.102131913,-0.125166711,0.009633953,0.277994432,0.053326793,-0.580772772,0.178842254,-0.401047672,0.434559191,-1.458976346,-0.376932595,-0.414123661,0.335216038,0.761601949,0.05456232,-0.662590999,0.174493855,-0.347859,-0.347859
L. waltii,-0.053931126,-0.457628762,1.445436167,0.723059382,-1.017630019,-0.672292645,-0.03107899,-1.286978904,0.770720961,-0.580761224,1.119190776,1.260882079,0.911393392,1.749619158,0.920933749,0.627940054,0.58669033,1.160639603,-0.473381068,-0.21821789,4.364357805,-0.514791562,-1.236339386,4.364357805,0.316623793,-0.316623793,-0.569398623,-0.991515466,0.080296035,-0.753144668,-0.21821789,4.364357805,-0.514513664,-0.21821789,-0.700655419,-0.545544726,-1.581823158,-1.312027377,-0.545544726,-0.698782522,-0.443896762,-0.433225339,-0.316623793,-1.034452008,-1.023532631,2.01186954,0.769244236,0.757118928,-1.29422084,4.364357805,0.130025063,-0.746765832,0.559016994,-0.485528433,0.333839535,-0.473381068,-1.010552526,0.091995965,-0.765559002,0.836536288,-2.426077975,-0.91135327,-0.21821789,-0.316623793,-0.316623793,-0.21821789,4.364357805,-0.514791562,3.269092123,-0.21821789,-1.46326492,1.745743122,-0.577350269,0.286534128,0.238154311,-0.21821789,0.610338891,0.901338995,-0.537271648,-0.051360317,1.044817785,0.383440273,-0.834075466,0.871364256,0.793435536,1.752714835,0.199996953,-1.500247996,-0.405020981,0.1067445,-0.96099996,0.358568583,-0.570876161,-0.713602599,-1.017630019,-0.43643578,-0.663857436,-0.417222368,-0.111753871,0.304773712,-0.014543669,-0.580772772,0.362046514,0.670843379,-0.806558103,0.242734489,0.620263334,-1.1596987,-1.564479023,1.443197632,1.470973585,-1.878943503,2.177267813,1.325845748,1.325845748
N. bacillisporus,-0.733463308,3.889844476,0.926561645,-0.847724793,-1.017630019,2.353024259,1.926897363,0.064348946,-0.70065542,1.663300145,-1.017446159,-1.322388521,0.021195195,-0.004175702,0.408626233,-0.540505364,0.646498568,2.220354023,-0.473381068,-0.21821789,-0.21821789,3.539191986,-0.341059141,-0.21821789,-0.791559484,3.007926037,2.419944149,1.611212631,-0.16059207,0.418413704,-0.21821789,-0.21821789,-1.345651122,-0.21821789,2.242097342,1.745743122,0.372193684,2.926830304,1.745743122,1.9692962,-0.443896762,2.875040884,-0.316623793,-1.034452008,0.93048421,-0.473381068,-1.716006373,2.046267373,0.440585818,-0.21821789,1.093740233,3.02855032,-1.118033989,0.534081277,-0.303490486,-0.473381068,1.595609251,-0.149493443,0.574169252,0.836536288,0.059172634,-0.91135327,-0.21821789,-0.316623793,3.007926037,4.364357805,-0.21821789,-0.514791562,-0.441769206,-0.21821789,2.22416268,-1.309307341,1.154700538,-0.916909208,-0.734309128,-0.21821789,0.942173628,-0.466091648,1.121949617,-0.051360317,-1.044817785,-0.445467375,2.93937849,-0.770822227,-1.556354324,0.152409986,0.863144745,-0.641015053,0.081004196,1.974773248,0.48049998,1.434274331,-0.134934365,0.167906493,0.107118949,0.43643578,0.255329783,-0.319870482,0.899811329,0.786800753,-0.218155055,0.308535535,-0.004362006,-1.013556844,-3.212787815,0.338482443,-1.421527234,-1.073811055,-1.195072396,-1.69508227,0.711144572,1.252493708,2.357731907,-0.053518831,-0.053518831
N. bracarensis,-0.733463308,0,0.148249863,-0.324130068,1.231867917,-0.672292645,0.621579794,0.064348946,-0.70065542,-0.678329109,-1.017446159,-0.999479696,-0.869003002,0.171203784,0.664779991,-0.039743042,-0.250624995,0.100925183,-0.473381068,-0.21821789,-0.21821789,-0.514791562,0.554221104,-0.21821789,-0.791559484,-0.316623793,-0.569398623,0.309848583,-0.16059207,0.418413704,-0.21821789,-0.21821789,0.316623793,-0.21821789,0.770720961,1.745743122,0.372193684,-0.252312957,-0.545544726,-0.698782522,-0.443896762,0.393841217,-0.316623793,0.0517226,-1.023532631,-0.473381068,0.769244236,0.327402779,0.440585818,-0.21821789,0.290644258,0.705278842,1.118033989,-0.485528433,-0.303490486,-0.473381068,0.850991601,-0.149493443,-0.765559002,0.836536288,0.059172634,0.364541309,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,0.995020146,-1.309307341,-0.577350269,-0.916909208,0.238154311,-0.21821789,0.319983496,-0.394121614,-0.75850115,-0.698500303,-0.46436346,-0.445467375,0.573929742,-0.06702802,0.152583756,0.152409986,-0.131576943,1.936683775,0.324016784,0.480350249,1.081124955,0.836660027,0.518978327,-0.05247078,1.231867917,0.21821789,0.944720197,0.945704032,0.211946993,-0.016577649,0.562355257,0.435579579,-0.01454002,-0.401047672,0.49707753,-0.48478692,-0.739715027,0.812906884,1.207861482,-0.826676597,-1.087148788,-0.288175824,-1.575800423,-1.10259836,-1.10259836
