target_name,Acc_number,target_length,query_name,query_length,E_value,seq_score,bias,domain_score,hmm_coord_start,hmm_coord_to,evn_coord_start,env_coord_end,acc,target_description
HLH,PF00010.30,53,yHMPu5000035244_Candida_incommunis,216,7.5e-08,32.3,0.2,-5.2,125,129,123,130,0.67,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035244_Candida_incommunis,216,7.5e-08,32.3,0.2,32.3,137,194,137,195,0.98,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034974_Deakozyma_indianensis,503,1.4e-10,41,0.3,39.3,415,465,415,465,0.96,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034974_Deakozyma_indianensis,503,1.4e-10,41,0.3,-1.7,469,477,469,489,0.77,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035011_Candida_pyralidae,255,5.1e-14,52,2.6,50.6,151,199,151,199,0.94,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Nakaseomyces_bacillisporus,541,5.9e-08,32.6,1.3,-0.2,174,185,168,187,0.83,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Nakaseomyces_bacillisporus,541,5.9e-08,32.6,1.3,30.1,468,521,468,522,0.92,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Nakaseomyces_bacillisporus,541,5.9e-08,32.6,1.3,-2.6,525,534,524,538,0.78,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Spathaspora_passalidarum,508,5.5e-09,35.9,0,35.1,444,497,444,498,0.9,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034952_Citeromyces_siamensis,406,5e-11,42.4,0.5,41.6,342,396,342,396,0.95,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034979_Cyberlindnera_misumaiensis,444,1.8e-08,34.3,0.1,33.4,359,413,359,413,0.92,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034979_Cyberlindnera_misumaiensis,444,1.8e-08,34.3,0.1,33.4,359,413,359,413,0.92,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034939_Komagataella_pseudopastoris,381,2.6e-12,46.6,0,45.3,315,369,315,369,0.96,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Ascoidea_rubescens,423,2.3e-12,46.7,4.5,-2.1,242,254,242,255,0.86,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Ascoidea_rubescens,423,2.3e-12,46.7,4.5,46.7,319,367,319,367,0.96,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Spathaspora_passalidarum,228,2.4e-13,49.9,3.6,49.9,130,178,130,178,0.95,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Spathaspora_passalidarum,228,2.4e-13,49.9,3.6,-3.1,211,218,208,223,0.7,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034881_Torulaspora_pretoriensis,479,1.2e-09,38,0.3,37.1,418,471,418,472,0.88,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034963_Hanseniaspora_clermontiae,457,1.7e-11,43.9,0.4,43,375,428,375,429,0.96,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Candida_tropicalis,280,3.8e-12,46,3.7,44.8,181,229,181,229,0.97,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034629_Pichia_exigua,414,5e-10,39.2,0.5,38.3,350,403,350,404,0.89,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035695_Hanseniaspora_pseudoguilliermondii,221,1.4e-10,41,0,39.2,115,180,115,180,0.91,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Candida_dubliniensis,225,5.7e-13,48.7,5,47.7,127,175,127,175,0.97,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Candida_dubliniensis,667,7.2e-10,38.7,0.1,37.4,603,656,603,657,0.9,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034881_Torulaspora_pretoriensis,479,1.2e-09,38,0.3,37.1,418,471,418,472,0.88,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034594_Starmera_quercuum,536,5.1e-10,39.2,0.2,38.2,453,507,453,507,0.94,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000034629_Pichia_exigua,413,5.7e-08,32.7,0.4,31.7,350,403,350,404,0.88,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000026274_Komagataella_populi,360,1.1e-11,44.6,0.2,43.7,252,305,252,306,0.93,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035302_Candida_fragi,290,9.9e-13,47.9,2.2,47.9,187,235,187,235,0.94,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,yHMPu5000035302_Candida_fragi,290,9.9e-13,47.9,2.2,-3.4,267,275,265,276,0.79,Helix-loop-helix DNA-binding domain
Sec23_trunk,PF04811.19,241,Candida_tropicalis,1205,2e-67,227.5,0,226.7,569,836,568,836,0.98,Sec23/Sec24 trunk domain
Sec23_BS,PF08033.16,86,Candida_tropicalis,1205,4e-25,88.4,0.5,87.3,847,944,847,948,0.91,Sec23/Sec24 beta-sandwich domain
Sec23_helical,PF04815.19,103,Candida_tropicalis,1205,1e-24,86.5,0.1,85.4,959,1057,959,1058,0.97,Sec23/Sec24 helical domain
Gelsolin,PF00626.26,76,Candida_tropicalis,1205,6.1e-12,45.4,0,-1.8,39,65,33,70,0.66,Gelsolin repeat NA
Gelsolin,PF00626.26,76,Candida_tropicalis,1205,6.1e-12,45.4,0,45.4,1072,1159,1070,1159,0.97,Gelsolin repeat NA
zf-Sec23_Sec24,PF04810.19,39,Candida_tropicalis,1205,3.2e-11,43.2,9.1,42.2,501,540,501,540,0.97,Sec23/Sec24 zinc finger
HLH,PF00010.30,53,Candida_tropicalis,1205,1.9e-09,37.4,0.2,36.4,356,409,356,410,0.9,Helix-loop-helix DNA-binding domain
HLH,PF00010.30,53,Hanseniaspora_uvarum,482,4.5e-11,42.6,0.7,41.3,400,453,400,454,0.94,Helix-loop-helix DNA-binding domain
