Species,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_JIP1_4,DOC_MAPK_MEF2A_6,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_CtBP_PxDLS_1,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_par_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_LysEnd_APsAcLL_1,TRG_NES_CRM1_1,TRG_NLS_MonoExtN_4,D_homorep,N_homorep,P_homorep,Q_homorep,S_homorep,T_homorep,PY,FRG,SGFYSG,PG_rich,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
S. cerevisiae,-0.831058835,-0.828862466,-1.38212281,-0.886658628,-0.704907377,-0.819782295,-1.311651672,1.286978904,-0.70065542,-1.106299968,0,-0.769889472,-1.147761251,-1.343734971,-1.20359157,-0.243499895,-1.20542764,-0.391339604,-0.398409537,-0.21821789,-0.21821789,-0.316623793,0.156941205,-0.21821789,0.870715432,-0.316623793,-0.441769206,-0.91135327,-0.618292888,-1.13717914,-0.21821789,-0.21821789,-0.042632393,-0.700655419,-0.545544726,0.441769206,0.071174828,-0.545544726,-0.700655419,-0.473381068,-0.176707682,-0.316623793,0.418853908,0.93048421,-0.473381068,-0.492531828,-0.592156525,-0.173166988,-0.21821789,-1.249412462,-0.932543132,-0.500870323,-1.563866138,-1.404262948,-0.473381068,-1.261337246,-0.608455621,-0.509647191,-0.767277615,-0.13598836,0.114613651,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,-0.234122387,0.381024964,-0.577350269,0.398409536,-1.411544409,-0.21821789,-1.220267466,-0.732315817,-1.195476627,-0.748154969,-0.834133094,-0.989594307,-1.08736515,-0.935027935,-1.0469203,-0.509647191,-1.383055222,-0.719497203,-1.236180324,-1.226933383,-0.899438027,-1.393660777,-1.112118805,-0.372193683,-0.646128518,-1.095648341,-1.420319283,-1.269436191,-1.346347747,-1.308285609,-1.440467753,-1.34286472,-1.2915191,0.931409824,-0.885603371,1.117139297,1.333319062,0.558617883,0.928901894,0.114706555,-1.02891302,0.991187899,-0.160416118,-0.79802105,-0.79802105
C. albicans,1.819913651,0.432449982,0.475450247,1.241322078,0.528680533,-0.327912918,1.639564591,-0.064348946,1.261179755,1.35474869,0.34299717,0.577417104,1.345651122,0.628982326,0.601795786,1.993655399,1.427705078,-0.391339604,2.390457219,-0.21821789,-0.21821789,-0.316623793,-0.941647231,-0.21821789,-0.791559484,-0.316623793,-0.441769206,-0.91135327,1.586562882,0.027736077,-0.21821789,-0.21821789,0.852647852,0.770720961,-0.545544726,0.441769206,0.071174828,-0.545544726,0.770720961,-0.473381068,-1.104423014,-0.316623793,2.931977358,0.93048421,2.01186954,-0.492531828,0.789542034,-0.173166988,-0.21821789,0.967854725,-0.081090707,2.420873226,-0.13598836,-0.748940239,2.01186954,0.686315855,1.60304654,1.274117979,-0.767277615,-0.13598836,0.114613651,-0.21821789,3.007926037,-0.316623793,-0.21821789,-0.21821789,0.836536288,-0.441769206,-0.21821789,0.995020146,-1.219279885,2.886751346,1.792842914,-0.190973656,-0.21821789,0.996924003,2.2559492,1.150785912,1.65921465,1.267882304,2.105519802,0.815523862,1.390238903,-1.0469203,1.274117979,0.359594358,0.169293459,1.750343821,1.080433875,1.948782391,1.678552759,-0.609871603,0.849066843,-0.646128518,0.79917879,0.36037952,1.131061629,1.511060503,1.562132072,1.756343116,1.395014806,1.699452099,0.773671064,0.81927655,-0.497623448,0.791332981,-1.336462125,-0.208876506,-2.145634083,-0.045636153,-0.052662063,-0.628929962,0.626463596,0.626463596
C. glabrata,-0.610144461,-0.324337487,0.475450247,0.177331725,-0.704907377,-0.327912918,-0.327912918,-0.064348946,-0.70065542,-0.417206344,-0.34299717,-1.443542759,0.098944935,0.371671375,0.343883306,-0.882687123,0.170982644,-0.391339604,-0.398409537,-0.21821789,-0.21821789,-0.316623793,-0.941647231,-0.21821789,-0.791559484,-0.316623793,-0.441769206,1.640435888,0.36164301,0.027736077,-0.21821789,-0.21821789,-0.937912638,0.770720961,1.745743122,-1.413661459,1.565846214,1.745743122,0.770720961,-0.473381068,-1.104423014,-0.316623793,-0.837707817,-1.023532631,2.01186954,0.656709103,-0.592156525,0.554134362,-0.21821789,0.043993397,1.054179192,0.083478387,-0.13598836,-0.09361753,2.01186954,1.075846475,0.374434228,-0.509647191,0.080766065,-0.13598836,0.114613651,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,0.995020146,0.381024964,-0.577350269,-0.996023841,0.506495346,-0.21821789,0.613179326,-0.295008742,0.094967769,-0.114636648,0.333653238,-0.231607178,0.881140725,0.270665981,0.246334187,-0.509647191,1.405184107,1.235842254,0.371948062,0.88815327,0.599625351,1.031770962,0.394622802,-0.127941578,1.049958841,0.528489199,1.695903622,0.625693667,0.558591086,0.449112971,0.797299856,0.573650948,0.41277015,-2.223365387,0.907908985,-0.740566881,-1.172055307,0.421801691,-0.263928885,-0.397415104,1.260343039,0.090016494,0.065351387,0.836800115,0.836800115
C. subhashii,2.703571147,0.180187492,0.475450247,0.177331725,1.762268442,0.163956459,-0.327912918,-0.064348946,2.732556136,1.846958421,0,2.261550323,1.345651122,0.543212009,0.472839546,1.034874559,2.085988257,-0.391339604,-0.398409537,-0.21821789,-0.21821789,-0.316623793,-0.941647231,-0.21821789,-0.791559484,-0.316623793,-0.441769206,-0.91135327,1.096594933,0.610193685,-0.21821789,-0.21821789,-0.937912638,0.770720961,1.745743122,0.441769206,-1.423496558,-0.545544726,0.770720961,-0.473381068,-0.176707682,-0.316623793,-0.837707817,-1.023532631,2.01186954,0.656709103,1.019825127,-1.62776969,-0.21821789,0.967854725,-0.081090707,0.083478387,-0.13598836,-0.748940239,2.01186954,0.686315855,1.111601615,1.274117979,-0.767277615,-0.13598836,0.114613651,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,2.187864137,-0.441769206,-0.21821789,0.995020146,1.981329813,1.154700538,0.398409536,0.680862596,-0.21821789,0.527902731,1.599988586,2.206604054,1.532510986,0.683989138,1.91602302,-0.234345937,0.356786975,-0.529618505,-0.509647191,-0.802172028,0.169293459,0.831413315,0.119030851,-0.749531689,0.223293716,-0.358748002,-1.837706314,-0.646128518,1.61124756,-0.529969882,-0.890410219,0.25781127,0.990977533,0.357738361,1.258120829,1.044824441,-0.1727615,-0.389971621,-0.892471219,-0.234943889,-1.900391314,0.797076514,0.331711773,1.033972837,-0.531404725,-0.754606269,0.297054017,0.297054017
D. hansenii,0.273513034,0.432449982,0.011056983,0.177331725,-0.704907377,-0.819782295,0.655825836,-1.415676795,1.261179755,0.764097012,-1.028991511,0.914243748,0.514513664,0.114360423,0.214927067,0.235890525,0.649734047,-0.391339604,-0.398409537,-0.21821789,-0.21821789,-0.316623793,-0.941647231,-0.21821789,-0.791559484,-0.316623793,-0.441769206,0.364541309,1.341578908,0.610193685,-0.21821789,-0.21821789,0.852647852,0.770720961,-0.545544726,0.441769206,0.071174828,1.745743122,-0.700655419,-0.473381068,0.751007651,-0.316623793,-0.837707817,0.93048421,-0.473381068,1.805950034,0.328975848,1.281435713,-0.21821789,-0.140778869,0.770361717,0.083478387,-0.13598836,0.561705179,-0.473381068,0.296785234,1.357324077,1.274117979,-0.767277615,-1.563866138,0.114613651,-0.21821789,3.007926037,-0.316623793,-0.21821789,-0.21821789,-0.514791562,1.413661459,-0.21821789,0.995020146,0.381024964,-0.577350269,-0.996023841,1.552698848,-0.21821789,0.058881458,0.798258947,1.033472785,0.518881673,-0.016682662,0.400048762,0.290588963,0.529028963,0.246334187,-0.509647191,-0.802172028,0.880325989,0.142215435,-1.226933383,0.149906338,-0.585183531,0.143499201,1.826075264,-0.646128518,2.15262674,-0.173830121,0.246667696,0.107421363,0.390533018,0.437658633,1.121226853,0.424056833,0.615932303,0.975495002,-0.828836481,0.333267325,-0.77423872,1.193526137,-0.044313162,0.488558724,-0.629442869,-1.001103858,-0.276950186,-0.276950186
K. lactis,0.936256156,0.180187492,1.404236776,0.709326902,1.762268442,1.639564589,0.655825836,1.286978904,-0.70065542,0.960980904,1.028991511,-0.096236184,1.345651122,1.14360423,2.149270662,0.076093718,1.607236854,0.635926857,-0.398409537,-0.21821789,-0.21821789,-0.316623793,-0.941647231,-0.21821789,-0.791559484,-0.316623793,-0.441769206,1.640435888,1.341578908,2.357566511,-0.21821789,-0.21821789,-0.042632393,2.242097342,-0.545544726,0.441769206,0.071174828,1.745743122,0.770720961,-0.473381068,0.751007651,-0.316623793,-0.837707817,-1.023532631,-0.473381068,-0.492531828,1.710674407,2.008737064,-0.21821789,2.076488318,1.054179192,1.252175807,1.291889419,1.872350597,-0.473381068,0.686315855,1.357324077,3.057883149,-0.767277615,-0.13598836,-1.088829685,-0.21821789,-0.316623793,3.007926037,-0.21821789,-0.21821789,2.187864137,-0.441769206,-0.21821789,-0.234122387,0.381024964,1.154700538,0.398409536,1.727066099,-0.21821789,1.679136763,0.652489922,1.737351546,1.152399994,2.552447269,0.842207921,1.209225037,1.217996915,2.315541367,-0.509647191,1.637537384,1.769116651,0.831413315,0.119030851,0.299812676,0.384989165,1.399117206,0.849066843,-0.646128518,0.257799609,2.141078323,1.38374561,1.059890779,1.781806894,1.756343116,0.573650948,1.767172202,-2.065626627,0.797494638,-2.25298671,-0.5461488,-0.346031866,-0.144046798,0.848633093,1.168712088,1.315402569,0.5040102,0.113629121,0.113629121
L. kluyveri,0.494427408,-0.324337487,0.475450247,-0.886658628,1.762268442,0.655825836,0.655825836,-0.064348946,0.280262168,0.567213119,-0.685994341,1.251070391,-1.147761251,-0.486031798,0.085970827,0.076093718,0.23082657,-0.391339604,-0.398409537,4.364357805,-0.21821789,-0.316623793,-0.941647231,-0.21821789,-0.791559484,-0.316623793,-0.441769206,0.364541309,0.36164301,0.027736077,-0.21821789,-0.21821789,-0.937912638,-0.700655419,-0.545544726,-1.413661459,0.071174828,-0.545544726,-0.700655419,-0.473381068,-0.176707682,3.007926037,-0.837707817,0.93048421,-0.473381068,-0.492531828,0.098692755,0.554134362,-0.21821789,0.228765662,0.486544242,-1.085219032,1.291889419,-0.09361753,-0.473381068,0.686315855,0.374434228,-0.509647191,-0.767277615,-0.13598836,-1.088829685,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,0.836536288,-0.441769206,-0.21821789,-0.234122387,-1.219279885,1.154700538,-0.996023841,0.680862596,-0.21821789,0.229434648,0.142298334,0.212280896,-0.114636648,1.384660937,0.652711138,0.2249721,-0.676664953,1.280937777,-0.509647191,0.127241081,0.347051592,-0.317249818,-0.073249754,-0.449719013,0.870075513,0.394622802,-0.860697894,1.049958841,-0.283579571,0.27134458,0.246667696,0.107421363,0.361243042,0.277818089,-0.247712909,0.311189996,-0.1727615,0.627758637,-1.964127931,-0.112559935,-0.285645057,0.064563557,1.064273923,-0.606746031,-0.578004466,0.343204461,-0.733215402,-0.733215402
L. waltii,-0.389230087,-0.576599976,1.636433408,0.709326902,-0.704907377,-0.819782295,-0.327912918,-1.415676795,0.770720961,-0.810974129,1.028991511,1.251070391,0.930082393,1.829766768,0.988664505,0.555484138,0.649734047,1.663193318,-0.398409537,-0.21821789,4.364357805,-0.316623793,-0.941647231,4.364357805,0.870715432,-0.316623793,-0.441769206,-0.91135327,0.116659035,-1.13717914,-0.21821789,4.364357805,-0.042632393,-0.700655419,-0.545544726,-1.413661459,-1.423496558,-0.545544726,-0.700655419,-0.473381068,-1.104423014,-0.316623793,-0.837707817,-1.023532631,2.01186954,0.656709103,0.789542034,-1.62776969,4.364357805,0.228765662,-0.648725657,0.667827097,-0.13598836,0.561705179,-0.473381068,-0.871806626,0.128711766,-0.509647191,0.080766065,-1.563866138,-1.088829685,-0.21821789,-0.316623793,-0.316623793,-0.21821789,4.364357805,-0.514791562,3.269092123,-0.21821789,-1.46326492,1.981329813,-0.577350269,0.398409536,0.157760845,-0.21821789,0.655817623,0.944027973,-0.491597865,-0.114636648,1.15110367,0.147386386,-0.8248977,1.045754927,0.763635982,1.274117979,0.127241081,-1.786045998,-0.087517191,-0.073249754,-1.049344365,0.384989165,-0.860995204,-0.372193683,-0.646128518,-0.554269161,-0.797074702,-0.511384248,-0.193358453,0.346598054,-0.001902862,-0.384606886,0.390196782,0.773671064,-0.953791846,0.486111471,0.812313087,-1.256751686,-1.777845664,1.495189594,0.768247195,-0.808598126,2.283638177,1.114254704,1.114254704
N. bacillisoprus,-0.610144461,3.964124836,0.939843512,-0.886658628,-0.704907377,2.623303343,0.655825836,-0.064348946,-0.70065542,1.650074529,-1.028991511,-1.443542759,0.098944935,0.028590105,0.343883306,-1.042483929,0.649734047,2.690459779,-0.398409537,-0.21821789,-0.21821789,3.007926037,0.156941205,-0.21821789,-0.791559484,3.007926037,3.269092123,1.640435888,-0.128324939,0.610193685,-0.21821789,-0.21821789,-0.937912638,2.242097342,1.745743122,0.441769206,3.0605176,1.745743122,2.242097342,-0.473381068,2.606438315,-0.316623793,-0.837707817,0.93048421,-0.473381068,-1.641772759,1.9409575,-0.173166988,-0.21821789,1.337399256,3.040901516,-1.085219032,1.291889419,-0.09361753,-0.473381068,1.854907715,-0.117010696,-0.509647191,0.928809744,-0.13598836,-1.088829685,-0.21821789,-0.316623793,3.007926037,4.364357805,-0.21821789,-0.514791562,-0.441769206,-0.21821789,2.22416268,-1.219279885,1.154700538,-0.996023841,-0.888442658,-0.21821789,0.911647408,-0.586546792,1.385412166,-0.241340312,-0.834133094,-0.484269555,3.177730912,-0.762785947,-1.564222094,-0.509647191,0.708124274,-0.897255336,0.371948062,1.849556294,0.149906338,1.355161861,0.143499201,0.360562632,-0.646128518,0.257799609,0.093274699,-0.637726238,0.909500871,0.844527652,-0.481424492,0.299862996,-0.049983885,-0.961455303,-2.72724981,0.599816887,-1.329406105,-1.18889802,-1.213550813,-1.404634033,0.639656975,1.411916897,1.926015777,0.031296204,0.031296204
N. bracarensis,-0.610144461,-0.072074997,0.243253615,-0.354663451,0.528680533,-0.327912918,0.655825836,-0.064348946,-0.70065542,-0.614090237,-1.028991511,-1.106716116,-0.732192522,0.20013074,0.730752025,0.076093718,-0.247924834,-1.418606065,-0.398409537,-0.21821789,-0.21821789,-0.316623793,0.156941205,-0.21821789,-0.791559484,-0.316623793,-0.441769206,0.364541309,-0.128324939,0.027736077,-0.21821789,-0.21821789,-0.042632393,0.770720961,1.745743122,0.441769206,0.071174828,-0.545544726,-0.700655419,-0.473381068,-0.176707682,-0.316623793,0.418853908,-1.023532631,-0.473381068,1.805950034,0.098692755,0.554134362,-0.21821789,0.228765662,0.486544242,0.667827097,-0.13598836,-0.09361753,-0.473381068,0.686315855,-0.117010696,-0.509647191,0.928809744,-0.13598836,0.114613651,-0.21821789,-0.316623793,-0.316623793,-0.21821789,-0.21821789,-0.514791562,-0.441769206,-0.21821789,0.995020146,-1.219279885,-0.577350269,-0.996023841,-0.016606406,-0.21821789,0.357349541,-0.367893254,-0.843537246,-0.874858633,-0.483797194,-0.547435149,0.421822687,0.012302999,-0.01231671,-0.509647191,-0.221288835,1.591358519,0.371948062,0.50359206,1.199250702,1.031770962,0.645746403,-0.127941578,1.049958841,-0.012889981,0.62748434,1.004719639,0.207681301,-0.078106603,0.397698497,0.299862996,-0.09513062,0.142716022,0.345637914,0.127449405,-0.325857683,0.640979184,0.968082284,-0.965264783,-0.220680934,-0.577684959,-1.306207076,-0.905450704,-0.905450704
