Species,Group,REP_Q2,REP_N2,REP_S2,REP_G2,REP_E2,REP_D2,REP_K2,REP_R2,REP_P2,REP_QN2,REP_RG2,REP_PR,REP_FG2,REP_SG2,REP_SR2,REP_KAP2,REP_PTS2,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DEG_SCF_TRCP1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_gen_1,DOC_MAPK_JIP1_4,DOC_MAPK_MEF2A_6,DOC_MAPK_NFAT4_5,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,LIG_14-3-3_CanoR_1,LIG_CaM_IQ_9,LIG_CtBP_PxDLS_1,LIG_EF_ALG2_ABM_1,LIG_EH_1,LIG_HCF-1_HBM_1,LIG_HOMEOBOX,LIG_KEPE_2,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PAM2_1,LIG_PCNA_PIPBox_1,LIG_PDZ_Class_1,LIG_PDZ_Wminus1_1,LIG_PTAP_UEV_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_Rb_LxCxE_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_anti_2,LIG_SUMO_SIM_par_1,LIG_WRPW_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_NMyristoyl,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,TRG_ER_diArg_1,TRG_ER_FFAT_1,TRG_LysEnd_APsAcLL_1,TRG_NES_CRM1_1,TRG_NLS_MonoExtN_4,A_homorep,C_homorep,D_homorep,E_homorep,G_homorep,H_homorep,I_homorep,K_homorep,L_homorep,M_homorep,N_homorep,P_homorep,Q_homorep,R_homorep,S_homorep,T_homorep,V_homorep,Y_homorep,FG_rich,PY,FRG,SGFYSG,PG_rich,ELASTIN_LIKE,FGxF,R_plus_Y,REP_RGG,AA_S,AA_P,AA_T,AA_A,AA_H,AA_Q,AA_N,AA_G,AA_R,AA_C,AA_D,AA_E,AA_F,AA_I,AA_K,AA_L,AA_M,AA_V,AA_W,AA_Y,acidic,basic,aliphatic,polar_fraction,chain_expanding,aromatic,disorder_promoting,net_charge,WF_complexity,KL_hydropathy,isoelectric_point,FCR,ED_ratio,RK_ratio,SCD,kappa*,omega*,aromatic_spacing*,omega_aromatic*
S_cerevisiae,2,0,0,5,0,0,1,0,4,0,1,6,5,0,8,13,13,25,1,0,0,0,0,0,1,0,1,0,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,7,3,0,6,3,0,2,2,3,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,15,0,32,19,18,13,8,4,14,8,12,0,7,11,2,6,15,11,1,13,0,3,18,27,44,84,64,5,147,9,0.838579711,-0.941624366,9.893554688,0.228426396,0.405465108,-0.207639365,-1.848742458,3.074309517,-0.368425849,-0.828157398,-0.828157398
C_albicans,1,13,5,13,4,0,2,4,3,4,28,11,9,5,31,27,29,70,1,1,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,3,0,1,1,1,14,3,0,20,6,0,7,3,3,1,5,16,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,2,0,0,26,0,86,60,39,35,29,58,44,38,15,1,25,19,15,15,37,35,9,19,1,11,44,52,113,295,156,27,441,8,0.889587719,-1.071404399,9.188476563,0.162436548,-0.262364265,-0.864997438,-4.193973425,2.814730977,-0.0583112,0.649442836,0.649442836
C_glabrata,1,1,2,13,2,0,2,2,2,0,8,5,2,3,28,23,10,47,1,0,0,0,0,0,0,0,0,0,0,0,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,1,0,0,0,0,0,1,2,8,4,0,13,9,0,3,2,4,1,6,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,27,0,72,24,29,20,18,18,43,23,17,0,34,26,8,17,27,28,11,16,2,10,60,44,92,203,128,20,308,-16,0.891602917,-1.069525959,5.555664063,0.23476298,-0.259511196,-0.441832752,-2.710672292,2.778800982,0.061238801,-0.069091248,-0.069091248
C_subhashii,2,16,4,13,2,2,3,1,2,7,31,7,13,6,30,25,21,81,1,0,0,0,0,0,0,0,0,0,0,0,1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,2,15,1,0,19,6,0,3,2,3,1,5,14,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,1,1,0,0,29,0,74,52,47,33,21,51,29,26,16,0,16,20,12,13,15,26,8,8,1,13,36,31,88,248,119,26,371,-5,0.873285788,-1.056340956,6.500976563,0.139293139,0.211309094,0.060624622,-1.418769586,1.722805625,-0.271628717,-0.14060305,-0.14060305
D_hansenii,2,4,5,11,2,0,1,2,1,4,18,3,9,3,25,23,17,57,1,0,0,0,0,0,0,0,0,0,0,0,1,15,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,3,12,5,0,13,8,0,3,3,5,0,3,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,30,0,62,38,35,26,15,22,32,25,18,0,13,19,5,4,21,16,10,21,1,12,32,39,77,191,109,18,294,7,0.877727444,-1.079746835,9.344726563,0.179746835,0.356674944,-0.146603474,-0.779868315,1.393307689,-0.314141809,0.148588859,0.148588859
K_lactis,2,8,5,17,3,2,8,3,3,0,25,9,5,6,37,39,16,67,3,0,0,0,0,0,0,0,0,0,0,0,3,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,17,7,0,24,11,0,4,3,7,0,4,13,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,2,0,0,33,0,98,35,43,30,36,36,57,40,26,0,36,30,9,11,26,21,11,18,1,7,66,52,91,310,153,17,436,-14,0.880073359,-1.358318739,6.211914063,0.206654991,-0.176930708,0,-2.059626331,3.860772518,0.429677021,-0.268466609,-0.268466609
L_kluyveri,2,6,2,12,0,2,3,3,2,2,18,4,10,0,18,21,16,49,1,0,1,0,0,0,0,0,0,0,0,0,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,10,3,0,15,7,0,1,3,4,0,5,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,26,0,65,32,30,21,28,31,34,14,21,0,22,22,7,11,19,27,11,15,2,5,44,40,85,202,116,14,305,-4,0.887681729,-1.161630695,6.756835938,0.201438849,0,0.09531018,-4.480861162,1.285549633,0.170888125,-0.879824191,-0.879824191
L_waltii,2,3,1,17,3,0,2,1,1,3,5,9,9,5,44,28,20,54,3,0,0,0,1,0,0,1,1,0,0,0,1,9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,14,1,1,13,4,0,4,2,5,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,23,0,73,39,24,22,25,26,19,32,18,1,26,8,7,11,15,26,4,10,1,5,34,33,73,200,106,13,308,-1,0.862451053,-1.005612245,7.219726563,0.170918367,-1.098612289,0.171850257,-1.57902594,1.757490276,1.658116119,0.75275233,0.75275233
N_bacillisporus,2,1,17,14,0,0,8,3,2,0,26,3,2,4,21,22,10,50,4,0,0,0,0,1,1,0,0,0,1,1,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,3,0,0,0,0,1,0,0,19,3,0,19,15,0,1,3,4,0,7,7,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,17,0,76,20,34,19,8,12,72,12,9,0,28,14,9,18,23,28,9,17,1,8,42,32,91,214,94,18,255,-10,0.844694659,-0.945323741,5.284179688,0.177458034,-0.659245629,-0.875468737,-1.721508872,3.623719858,1.658288648,-0.333415862,-0.333415862
N_bracarensis,1,1,3,10,1,1,2,3,2,0,6,3,3,1,24,25,14,37,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,2,11,3,0,13,9,0,5,2,4,0,5,8,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25,0,64,22,20,14,11,15,38,19,18,0,22,29,6,15,30,26,10,14,2,7,51,48,79,167,121,15,264,-3,0.880948321,-1.12565445,6.461914063,0.259162304,0.265703166,-0.489548225,-4.09981842,1.342411246,-0.76189547,-1.823848934,-1.823848934
